MaNV,NgayThang,PhongBan,ChucDanh,Cluster,TargetNghiViec
2394,2025-01-01,Sales,Sales Supervisor,0,0
2395,2025-01-01,Sales,Sales Executive,2,1
2399,2025-01-01,Human Resources,HR Manager,1,0
2400,2025-01-01,Information Technology,Data Analyst,2,0
2401,2025-01-01,Marketing,Marketing Executive,2,0
2403,2025-01-01,Human Resources,HR Executive,1,0
2406,2025-01-01,Marketing,Marketing Executive,0,0
2411,2025-01-01,Information Technology,Software Engineer,0,0
2412,2025-01-01,Marketing,Content Specialist,2,0
2413,2025-01-01,Sales,Account Manager,1,0
2414,2025-01-01,Operations,Procurement Specialist,1,1
2415,2025-01-01,Information Technology,Software Engineer,1,0
2417,2025-01-01,Human Resources,Recruiter,0,0
2419,2025-01-01,Information Technology,Data Analyst,0,0
2420,2025-01-01,Marketing,Marketing Manager,0,0
2422,2025-01-01,Marketing,Marketing Manager,0,0
2423,2025-01-01,Marketing,Marketing Executive,1,1
2428,2025-01-01,Sales,Sales Executive,1,0
2429,2025-01-01,Human Resources,HR Manager,3,0
2430,2025-01-01,Information Technology,Data Analyst,1,0
2431,2025-01-01,Marketing,Content Specialist,0,0
2432,2025-01-01,Information Technology,Software Engineer,1,0
2434,2025-01-01,Operations,Warehouse Supervisor,0,0
2436,2025-01-01,Marketing,Marketing Executive,0,0
2439,2025-01-01,Finance,Accountant,2,0
2441,2025-01-01,Marketing,Marketing Manager,2,0
2442,2025-01-01,Finance,Accountant,1,0
2447,2025-01-01,Sales,Sales Executive,1,0
2449,2025-01-01,Marketing,Digital Marketing Specialist,1,0
2451,2025-01-01,Information Technology,Software Engineer,1,0
2452,2025-01-01,Human Resources,Recruiter,1,0
2455,2025-01-01,Information Technology,IT Support,1,0
2457,2025-01-01,Operations,Procurement Specialist,2,0
2458,2025-01-01,Finance,Accountant,1,0
2459,2025-01-01,Operations,Warehouse Supervisor,2,0
2461,2025-01-01,Finance,Internal Auditor,0,0
2469,2025-01-01,Information Technology,IT Support,3,0
2470,2025-01-01,Information Technology,Data Analyst,1,0
2471,2025-01-01,Finance,Financial Analyst,2,0
2473,2025-01-01,Marketing,Marketing Manager,0,0
2474,2025-01-01,Human Resources,Recruiter,2,1
2477,2025-01-01,Information Technology,System Administrator,1,0
2479,2025-01-01,Sales,Sales Representative,3,0
2482,2025-01-01,Information Technology,Software Engineer,2,1
2483,2025-01-01,Finance,Financial Analyst,1,0
2485,2025-01-01,Marketing,Content Specialist,2,0
2493,2025-01-01,Operations,Procurement Specialist,0,0
2494,2025-01-01,Information Technology,Software Engineer,1,0
2496,2025-01-01,Human Resources,HR Executive,1,0
2499,2025-01-01,Finance,Finance Manager,1,0
2501,2025-01-01,Operations,Warehouse Supervisor,2,0
2502,2025-01-01,Sales,Sales Executive,1,0
2503,2025-01-01,Sales,Sales Executive,1,0
2504,2025-01-01,Information Technology,Data Analyst,2,0
2508,2025-01-01,Operations,Operations Manager,2,1
2511,2025-01-01,Finance,Accountant,1,0
2512,2025-01-01,Information Technology,Software Engineer,1,0
2515,2025-01-01,Information Technology,QA Engineer,3,0
2516,2025-01-01,Finance,Finance Manager,1,0
2520,2025-01-01,Finance,Accountant,0,0
2522,2025-01-01,Operations,Procurement Specialist,1,0
2524,2025-01-01,Finance,Internal Auditor,1,0
2525,2025-01-01,Human Resources,HR Manager,1,0
2526,2025-01-01,Marketing,Content Specialist,2,0
2527,2025-01-01,Finance,Finance Manager,1,0
2530,2025-01-01,Information Technology,System Administrator,1,0
2531,2025-01-01,Human Resources,Recruiter,0,0
2533,2025-01-01,Operations,Warehouse Supervisor,2,0
2537,2025-01-01,Operations,Procurement Specialist,2,0
2539,2025-01-01,Marketing,Content Specialist,2,1
2542,2025-01-01,Operations,Warehouse Supervisor,0,0
2547,2025-01-01,Finance,Finance Manager,0,0
2549,2025-01-01,Information Technology,Data Analyst,1,0
2550,2025-01-01,Marketing,Digital Marketing Specialist,0,0
2551,2025-01-01,Information Technology,IT Support,1,0
2554,2025-01-01,Marketing,Marketing Manager,1,0
2557,2025-01-01,Marketing,Marketing Executive,2,0
2558,2025-01-01,Marketing,Content Specialist,3,0
2560,2025-01-01,Sales,Sales Executive,1,0
2561,2025-01-01,Marketing,Digital Marketing Specialist,1,0
2563,2025-01-01,Operations,Operations Manager,1,0
2564,2025-01-01,Marketing,Marketing Manager,3,0
2566,2025-01-01,Marketing,Marketing Executive,0,0
2568,2025-01-01,Finance,Finance Manager,1,0
2569,2025-01-01,Information Technology,QA Engineer,3,1
2571,2025-01-01,Information Technology,System Administrator,0,0
2572,2025-01-01,Finance,Accountant,2,0
2573,2025-01-01,Sales,Sales Executive,1,1
2574,2025-01-01,Information Technology,QA Engineer,0,0
2576,2025-01-01,Human Resources,Recruiter,0,1
2577,2025-01-01,Marketing,Content Specialist,1,0
2579,2025-01-01,Operations,Procurement Specialist,1,0
2581,2025-01-01,Marketing,Digital Marketing Specialist,2,0
2584,2025-01-01,Sales,Sales Supervisor,1,0
2585,2025-01-01,Sales,Account Manager,1,0
2587,2025-01-01,Marketing,Digital Marketing Specialist,2,0
2588,2025-01-01,Marketing,Marketing Manager,2,0
2593,2025-01-01,Finance,Accountant,0,0
2596,2025-01-01,Marketing,Content Specialist,3,0
2597,2025-01-01,Finance,Accountant,3,0
2599,2025-01-01,Sales,Account Manager,1,0
2602,2025-01-01,Operations,Warehouse Supervisor,2,1
2605,2025-01-01,Human Resources,Recruiter,3,1
2607,2025-01-01,Operations,Warehouse Supervisor,1,1
2609,2025-01-01,Operations,Operations Manager,1,1
2614,2025-01-01,Information Technology,Data Analyst,1,0
2615,2025-01-01,Information Technology,System Administrator,2,0
2616,2025-01-01,Human Resources,HR Manager,1,0
2618,2025-01-01,Human Resources,HR Manager,1,0
2623,2025-01-01,Operations,Warehouse Supervisor,0,0
2624,2025-01-01,Operations,Warehouse Supervisor,2,0
2626,2025-01-01,Marketing,Marketing Executive,2,0
2629,2025-01-01,Human Resources,C&B Specialist,1,0
2630,2025-01-01,Operations,Procurement Specialist,2,1
2635,2025-01-01,Finance,Accountant,1,0
2637,2025-01-01,Human Resources,C&B Specialist,1,0
2639,2025-01-01,Finance,Internal Auditor,1,0
2640,2025-01-01,Human Resources,C&B Specialist,1,0
2642,2025-01-01,Operations,Warehouse Supervisor,1,0
2643,2025-01-01,Marketing,Content Specialist,1,0
2644,2025-01-01,Information Technology,IT Support,1,0
2645,2025-01-01,Marketing,Digital Marketing Specialist,0,0
2646,2025-01-01,Sales,Sales Supervisor,2,0
2647,2025-01-01,Human Resources,HR Manager,0,0
2650,2025-01-01,Operations,Operations Manager,1,0
2653,2025-01-01,Marketing,Marketing Manager,1,1
2654,2025-01-01,Operations,Warehouse Supervisor,1,1
2655,2025-01-01,Human Resources,HR Manager,2,0
2656,2025-01-01,Sales,Sales Supervisor,1,0
2659,2025-01-01,Information Technology,Data Analyst,1,0
2661,2025-01-01,Sales,Sales Executive,3,0
2664,2025-01-01,Sales,Sales Executive,2,0
2668,2025-01-01,Finance,Financial Analyst,0,0
2669,2025-01-01,Finance,Accountant,1,0
2670,2025-01-01,Sales,Account Manager,0,0
2671,2025-01-01,Sales,Sales Representative,3,0
2673,2025-01-01,Information Technology,QA Engineer,2,0
2675,2025-01-01,Human Resources,Recruiter,0,0
2677,2025-01-01,Sales,Account Manager,1,0
2679,2025-01-01,Operations,Warehouse Supervisor,1,1
2680,2025-01-01,Marketing,Digital Marketing Specialist,1,0
2681,2025-01-01,Information Technology,Data Analyst,1,1
2682,2025-01-01,Marketing,Content Specialist,1,0
2688,2025-01-01,Marketing,Content Specialist,1,0
2689,2025-01-01,Human Resources,HR Manager,3,0
2692,2025-01-01,Finance,Accountant,1,0
2694,2025-01-01,Operations,Operations Executive,1,0
2695,2025-01-01,Information Technology,Software Engineer,2,0
2697,2025-01-01,Human Resources,HR Manager,1,0
2702,2025-01-01,Human Resources,C&B Specialist,1,0
2705,2025-01-01,Operations,Operations Manager,1,0
2707,2025-01-01,Finance,Accountant,3,0
2709,2025-01-01,Finance,Finance Manager,2,1
2710,2025-01-01,Finance,Accountant,0,1
2711,2025-01-01,Operations,Operations Executive,0,0
2712,2025-01-01,Marketing,Content Specialist,2,1
2713,2025-01-01,Human Resources,C&B Specialist,1,0
2716,2025-01-01,Marketing,Marketing Executive,0,0
2719,2025-01-01,Marketing,Content Specialist,0,0
2721,2025-01-01,Marketing,Marketing Manager,1,1
2724,2025-01-01,Marketing,Marketing Executive,1,0
2726,2025-01-01,Human Resources,C&B Specialist,1,0
2727,2025-01-01,Marketing,Content Specialist,1,0
2729,2025-01-01,Marketing,Marketing Manager,2,0
2730,2025-01-01,Sales,Account Manager,0,0
2734,2025-01-01,Sales,Sales Supervisor,1,0
2735,2025-01-01,Finance,Accountant,0,1
2738,2025-01-01,Finance,Accountant,0,0
2740,2025-01-01,Operations,Warehouse Supervisor,0,1
2741,2025-01-01,Operations,Procurement Specialist,2,0
2743,2025-01-01,Sales,Sales Executive,1,0
2744,2025-01-01,Marketing,Digital Marketing Specialist,0,0
2745,2025-01-01,Marketing,Marketing Executive,1,0
2746,2025-01-01,Sales,Sales Executive,2,0
2747,2025-01-01,Operations,Warehouse Supervisor,2,0
2753,2025-01-01,Information Technology,QA Engineer,1,0
2754,2025-01-01,Operations,Operations Manager,2,1
2756,2025-01-01,Information Technology,Software Engineer,3,0
2758,2025-01-01,Finance,Accountant,1,0
2760,2025-01-01,Human Resources,C&B Specialist,2,0
2764,2025-01-01,Information Technology,QA Engineer,3,0
2765,2025-01-01,Operations,Procurement Specialist,1,0
2767,2025-01-01,Human Resources,Recruiter,2,0
2770,2025-01-01,Human Resources,Recruiter,1,0
2771,2025-01-01,Sales,Sales Representative,3,0
2774,2025-01-01,Human Resources,HR Manager,1,0
2775,2025-01-01,Human Resources,HR Manager,1,0
2778,2025-01-01,Marketing,Digital Marketing Specialist,3,0
2780,2025-01-01,Finance,Internal Auditor,1,0
2781,2025-01-01,Sales,Sales Representative,1,0
2784,2025-01-01,Marketing,Marketing Executive,1,0
2785,2025-01-01,Marketing,Marketing Manager,0,0
2786,2025-01-01,Human Resources,HR Manager,1,0
2787,2025-01-01,Finance,Accountant,0,0
2790,2025-01-01,Information Technology,System Administrator,1,0
2795,2025-01-01,Human Resources,HR Manager,1,0
2799,2025-01-01,Marketing,Content Specialist,1,0
2803,2025-01-01,Sales,Account Manager,1,0
2804,2025-01-01,Human Resources,Recruiter,0,0
2806,2025-01-01,Human Resources,HR Executive,1,0
2810,2025-01-01,Operations,Procurement Specialist,1,0
2811,2025-01-01,Information Technology,Data Analyst,0,1
2814,2025-01-01,Marketing,Marketing Executive,1,0
2815,2025-01-01,Marketing,Marketing Manager,2,0
2816,2025-01-01,Sales,Sales Representative,0,1
2819,2025-01-01,Human Resources,Recruiter,1,0
2820,2025-01-01,Human Resources,Recruiter,1,0
2821,2025-01-01,Finance,Financial Analyst,3,0
2822,2025-01-01,Information Technology,Data Analyst,1,0
2823,2025-01-01,Operations,Operations Manager,2,0
2824,2025-01-01,Information Technology,QA Engineer,1,0
2826,2025-01-01,Operations,Procurement Specialist,1,1
2829,2025-01-01,Operations,Operations Executive,0,0
2832,2025-01-01,Finance,Finance Manager,3,0
2834,2025-01-01,Marketing,Marketing Manager,2,0
2837,2025-01-01,Sales,Account Manager,1,1
2838,2025-01-01,Marketing,Marketing Manager,1,1
2840,2025-01-01,Information Technology,QA Engineer,1,1
2845,2025-01-01,Sales,Sales Executive,1,0
2846,2025-01-01,Operations,Procurement Specialist,1,0
2855,2025-01-01,Operations,Operations Manager,1,0
2860,2025-01-01,Marketing,Marketing Manager,1,0
2862,2025-01-01,Human Resources,HR Manager,2,0
2863,2025-01-01,Marketing,Marketing Executive,2,0
2864,2025-01-01,Operations,Operations Executive,2,0
2877,2025-01-01,Finance,Accountant,1,0
2878,2025-01-01,Sales,Sales Representative,1,0
2881,2025-01-01,Information Technology,Data Analyst,1,0
2884,2025-01-01,Operations,Warehouse Supervisor,0,0
2885,2025-01-01,Information Technology,Data Analyst,0,0
2886,2025-01-01,Marketing,Marketing Manager,2,1
2887,2025-01-01,Human Resources,HR Executive,1,0
2893,2025-01-01,Human Resources,C&B Specialist,3,0
2894,2025-01-01,Marketing,Marketing Manager,2,0
2898,2025-01-01,Human Resources,Recruiter,1,0
2901,2025-01-01,Information Technology,QA Engineer,2,1
2902,2025-01-01,Marketing,Digital Marketing Specialist,3,0
2909,2025-01-01,Finance,Financial Analyst,1,0
2913,2025-01-01,Finance,Accountant,2,0
2919,2025-01-01,Sales,Account Manager,1,0
2920,2025-01-01,Sales,Sales Executive,1,0
2921,2025-01-01,Information Technology,IT Support,1,0
2922,2025-01-01,Human Resources,C&B Specialist,2,1
2924,2025-01-01,Operations,Operations Manager,2,0
2926,2025-01-01,Information Technology,Software Engineer,3,1
2928,2025-01-01,Information Technology,Data Analyst,3,0
2929,2025-01-01,Finance,Internal Auditor,1,0
2934,2025-01-01,Operations,Operations Executive,1,0
2936,2025-01-01,Marketing,Content Specialist,0,0
2937,2025-01-01,Information Technology,IT Support,0,0
2942,2025-01-01,Marketing,Marketing Executive,0,0
2944,2025-01-01,Information Technology,IT Support,1,0
2945,2025-01-01,Marketing,Marketing Manager,1,0
2946,2025-01-01,Information Technology,QA Engineer,0,0
2949,2025-01-01,Marketing,Digital Marketing Specialist,1,1
2950,2025-01-01,Finance,Accountant,1,0
2954,2025-01-01,Marketing,Content Specialist,2,0
2955,2025-01-01,Information Technology,Data Analyst,1,0
2957,2025-01-01,Finance,Accountant,1,0
2960,2025-01-01,Operations,Operations Executive,2,0
2961,2025-01-01,Information Technology,Software Engineer,3,1
2963,2025-01-01,Marketing,Marketing Executive,1,0
2964,2025-01-01,Operations,Operations Executive,0,0
2967,2025-01-01,Finance,Financial Analyst,1,0
2968,2025-01-01,Human Resources,C&B Specialist,1,0
2969,2025-01-01,Sales,Sales Representative,1,0
2972,2025-01-01,Marketing,Content Specialist,1,0
2975,2025-01-01,Human Resources,HR Executive,3,0
2978,2025-01-01,Finance,Finance Manager,1,0
2985,2025-01-01,Sales,Sales Representative,1,0
2986,2025-01-01,Sales,Account Manager,1,0
2990,2025-01-01,Human Resources,HR Manager,2,0
2991,2025-01-01,Information Technology,Data Analyst,1,0
2994,2025-01-01,Information Technology,Software Engineer,0,0
2995,2025-01-01,Marketing,Content Specialist,0,0
2996,2025-01-01,Information Technology,IT Support,0,0
2997,2025-01-01,Sales,Sales Supervisor,1,0
2998,2025-01-01,Operations,Operations Manager,1,1
3000,2025-01-01,Finance,Internal Auditor,1,0
3004,2025-01-01,Marketing,Marketing Manager,3,1
3005,2025-01-01,Marketing,Marketing Manager,1,0
3006,2025-01-01,Information Technology,System Administrator,1,0
3011,2025-01-01,Sales,Sales Executive,2,1
3014,2025-01-01,Marketing,Marketing Manager,2,0
3016,2025-01-01,Information Technology,Data Analyst,2,0
3017,2025-01-01,Human Resources,HR Executive,1,1
3018,2025-01-01,Information Technology,Data Analyst,2,1
3027,2025-01-01,Marketing,Marketing Executive,1,0
3031,2025-01-01,Operations,Warehouse Supervisor,0,0
3032,2025-01-01,Human Resources,C&B Specialist,1,0
3034,2025-01-01,Operations,Warehouse Supervisor,1,0
3035,2025-01-01,Human Resources,HR Manager,0,0
3038,2025-01-01,Marketing,Digital Marketing Specialist,1,0
3041,2025-01-01,Human Resources,HR Executive,1,0
3044,2025-01-01,Human Resources,C&B Specialist,1,0
3045,2025-01-01,Operations,Operations Executive,1,0
3047,2025-01-01,Human Resources,C&B Specialist,2,0
3049,2025-01-01,Finance,Finance Manager,2,0
3050,2025-01-01,Human Resources,C&B Specialist,1,0
3051,2025-01-01,Information Technology,System Administrator,2,0
3052,2025-01-01,Human Resources,Recruiter,3,0
3054,2025-01-01,Marketing,Marketing Manager,2,0
3056,2025-01-01,Operations,Operations Manager,0,0
3057,2025-01-01,Finance,Finance Manager,0,0
3059,2025-01-01,Human Resources,C&B Specialist,1,0
3061,2025-01-01,Marketing,Digital Marketing Specialist,1,0
3062,2025-01-01,Operations,Operations Manager,2,0
3064,2025-01-01,Finance,Accountant,2,0
3066,2025-01-01,Human Resources,HR Manager,1,0
3068,2025-01-01,Human Resources,HR Executive,3,0
3070,2025-01-01,Marketing,Marketing Manager,1,0
3072,2025-01-01,Sales,Sales Representative,1,0
3073,2025-01-01,Finance,Finance Manager,1,1
3074,2025-01-01,Marketing,Marketing Manager,2,0
3075,2025-01-01,Finance,Accountant,1,1
3084,2025-01-01,Operations,Procurement Specialist,0,0
3086,2025-01-01,Operations,Operations Manager,1,0
3088,2025-01-01,Information Technology,QA Engineer,2,0
3092,2025-01-01,Marketing,Marketing Manager,1,0
3093,2025-01-01,Marketing,Marketing Manager,0,1
3098,2025-01-01,Operations,Operations Executive,1,0
3099,2025-01-01,Information Technology,IT Support,2,0
3101,2025-01-01,Human Resources,HR Manager,1,0
3102,2025-01-01,Human Resources,C&B Specialist,2,0
3105,2025-01-01,Finance,Finance Manager,0,0
3106,2025-01-01,Finance,Finance Manager,0,0
3107,2025-01-01,Sales,Sales Representative,1,0
3110,2025-01-01,Finance,Finance Manager,1,0
3111,2025-01-01,Sales,Account Manager,1,1
3112,2025-01-01,Information Technology,Data Analyst,1,1
3113,2025-01-01,Finance,Internal Auditor,0,0
3115,2025-01-01,Marketing,Marketing Manager,1,0
3117,2025-01-01,Finance,Financial Analyst,0,1
3118,2025-01-01,Sales,Sales Supervisor,1,0
3122,2025-01-01,Marketing,Content Specialist,0,0
3123,2025-01-01,Sales,Account Manager,2,0
3125,2025-01-01,Information Technology,Software Engineer,3,1
3126,2025-01-01,Information Technology,QA Engineer,1,0
3129,2025-01-01,Marketing,Digital Marketing Specialist,1,0
3131,2025-01-01,Marketing,Marketing Executive,1,0
3134,2025-01-01,Operations,Operations Manager,1,0
3135,2025-01-01,Human Resources,Recruiter,3,0
3136,2025-01-01,Human Resources,Recruiter,1,1
3137,2025-01-01,Marketing,Marketing Executive,2,0
3138,2025-01-01,Sales,Sales Executive,1,0
3144,2025-01-01,Sales,Sales Supervisor,2,0
3145,2025-01-01,Information Technology,System Administrator,1,0
3146,2025-01-01,Information Technology,QA Engineer,1,0
3150,2025-01-01,Human Resources,Recruiter,1,0
3154,2025-01-01,Finance,Finance Manager,3,0
3157,2025-01-01,Marketing,Marketing Executive,1,0
3163,2025-01-01,Finance,Financial Analyst,2,0
3165,2025-01-01,Marketing,Marketing Manager,1,0
3167,2025-01-01,Information Technology,System Administrator,2,0
3168,2025-01-01,Human Resources,HR Manager,1,0
3170,2025-01-01,Marketing,Digital Marketing Specialist,2,0
3171,2025-01-01,Human Resources,HR Manager,3,0
3172,2025-01-01,Sales,Sales Executive,1,1
3174,2025-01-01,Finance,Finance Manager,2,0
3176,2025-01-01,Human Resources,HR Executive,0,0
3178,2025-01-01,Marketing,Content Specialist,0,0
3180,2025-01-01,Information Technology,System Administrator,1,0
3181,2025-01-01,Finance,Finance Manager,1,0
3182,2025-01-01,Sales,Sales Executive,1,0
3184,2025-01-01,Human Resources,HR Executive,1,0
3185,2025-01-01,Information Technology,Data Analyst,1,1
3186,2025-01-01,Human Resources,HR Executive,1,0
3189,2025-01-01,Sales,Sales Executive,0,1
3190,2025-01-01,Marketing,Marketing Manager,0,1
3191,2025-01-01,Human Resources,C&B Specialist,1,0
3192,2025-01-01,Information Technology,Software Engineer,1,0
3195,2025-01-01,Information Technology,QA Engineer,1,0
3196,2025-01-01,Operations,Warehouse Supervisor,0,0
3199,2025-01-01,Human Resources,C&B Specialist,1,0
3200,2025-01-01,Human Resources,HR Executive,1,0
3201,2025-01-01,Marketing,Content Specialist,1,1
3202,2025-01-01,Operations,Operations Manager,0,0
3205,2025-01-01,Human Resources,Recruiter,2,0
3206,2025-01-01,Marketing,Marketing Executive,2,0
3207,2025-01-01,Marketing,Content Specialist,2,0
3208,2025-01-01,Finance,Accountant,3,0
3210,2025-01-01,Operations,Operations Executive,1,0
3212,2025-01-01,Marketing,Marketing Manager,1,0
3215,2025-01-01,Sales,Sales Supervisor,0,0
3216,2025-01-01,Information Technology,IT Support,0,0
3217,2025-01-01,Information Technology,Data Analyst,2,0
3224,2025-01-01,Operations,Warehouse Supervisor,1,0
3228,2025-01-01,Human Resources,HR Manager,0,0
3233,2025-01-01,Human Resources,HR Manager,3,0
3238,2025-01-01,Sales,Sales Supervisor,2,1
3240,2025-01-01,Operations,Operations Executive,1,0
3242,2025-01-01,Information Technology,Software Engineer,1,0
3246,2025-01-01,Sales,Account Manager,0,0
3247,2025-01-01,Human Resources,Recruiter,3,0
3248,2025-01-01,Operations,Procurement Specialist,2,0
3255,2025-01-01,Human Resources,Recruiter,2,0
3256,2025-01-01,Operations,Operations Manager,1,0
3257,2025-01-01,Marketing,Marketing Executive,0,0
3262,2025-01-01,Information Technology,Software Engineer,1,0
3263,2025-01-01,Operations,Warehouse Supervisor,0,0
3264,2025-01-01,Operations,Operations Executive,1,0
3265,2025-01-01,Operations,Operations Executive,1,0
3266,2025-01-01,Marketing,Marketing Executive,1,0
3267,2025-01-01,Marketing,Marketing Manager,1,0
3269,2025-01-01,Human Resources,C&B Specialist,1,0
3270,2025-01-01,Marketing,Marketing Manager,0,0
3273,2025-01-01,Sales,Sales Representative,0,0
3274,2025-01-01,Marketing,Marketing Executive,0,0
3275,2025-01-01,Sales,Sales Executive,1,0
3276,2025-01-01,Sales,Sales Representative,0,0
3280,2025-01-01,Marketing,Content Specialist,2,0
3283,2025-01-01,Marketing,Content Specialist,1,0
3285,2025-01-01,Human Resources,HR Executive,2,0
3287,2025-01-01,Human Resources,HR Executive,2,0
3292,2025-01-01,Information Technology,Data Analyst,1,0
3295,2025-01-01,Finance,Financial Analyst,2,0
3297,2025-01-01,Human Resources,HR Manager,2,0
3298,2025-01-01,Marketing,Digital Marketing Specialist,0,0
3299,2025-01-01,Finance,Finance Manager,2,1
3300,2025-01-01,Sales,Sales Representative,2,0
3302,2025-01-01,Human Resources,C&B Specialist,2,0
3303,2025-01-01,Information Technology,Data Analyst,0,0
3305,2025-01-01,Operations,Procurement Specialist,1,0
3306,2025-01-01,Finance,Finance Manager,1,0
3313,2025-01-01,Information Technology,IT Support,2,0
3316,2025-01-01,Finance,Finance Manager,0,0
3317,2025-01-01,Sales,Sales Executive,2,1
3319,2025-01-01,Finance,Accountant,1,0
3320,2025-01-01,Finance,Internal Auditor,2,0
3322,2025-01-01,Human Resources,HR Manager,1,0
3327,2025-01-01,Operations,Procurement Specialist,1,0
3329,2025-01-01,Sales,Sales Supervisor,0,0
3330,2025-01-01,Sales,Sales Supervisor,1,0
3337,2025-01-01,Information Technology,Data Analyst,0,0
3342,2025-01-01,Sales,Sales Supervisor,1,1
3345,2025-01-01,Information Technology,System Administrator,2,1
3348,2025-01-01,Marketing,Content Specialist,1,1
3349,2025-01-01,Human Resources,HR Manager,1,0
3357,2025-01-01,Marketing,Marketing Manager,1,0
3358,2025-01-01,Operations,Operations Manager,0,0
3359,2025-01-01,Finance,Finance Manager,2,1
3362,2025-01-01,Marketing,Digital Marketing Specialist,1,0
3363,2025-01-01,Operations,Operations Manager,1,0
3364,2025-01-01,Information Technology,IT Support,0,0
3365,2025-01-01,Sales,Sales Executive,0,0
3368,2025-01-01,Operations,Operations Executive,1,0
3369,2025-01-01,Marketing,Digital Marketing Specialist,2,0
3370,2025-01-01,Human Resources,C&B Specialist,0,0
3371,2025-01-01,Human Resources,Recruiter,2,0
3375,2025-01-01,Sales,Sales Supervisor,0,0
3379,2025-01-01,Marketing,Digital Marketing Specialist,3,0
3381,2025-01-01,Human Resources,HR Executive,3,0
3383,2025-01-01,Finance,Accountant,2,0
3384,2025-01-01,Finance,Finance Manager,0,1
3385,2025-01-01,Sales,Sales Representative,1,0
3392,2025-01-01,Operations,Warehouse Supervisor,0,0
3393,2025-01-01,Sales,Sales Supervisor,1,0
3394,2025-01-01,Sales,Sales Representative,1,0
3396,2025-01-01,Sales,Account Manager,1,0
3397,2025-01-01,Human Resources,C&B Specialist,1,0
3398,2025-01-01,Marketing,Marketing Manager,0,0
3400,2025-01-01,Finance,Finance Manager,1,0
3401,2025-01-01,Operations,Operations Executive,1,0
3403,2025-01-01,Human Resources,Recruiter,2,0
3405,2025-01-01,Information Technology,IT Support,1,0
3406,2025-01-01,Information Technology,IT Support,3,0
3408,2025-01-01,Human Resources,C&B Specialist,1,0
3411,2025-01-01,Sales,Sales Executive,0,1
3412,2025-01-01,Finance,Accountant,3,0
3413,2025-01-01,Finance,Finance Manager,2,1
3414,2025-01-01,Sales,Sales Executive,3,0
3416,2025-01-01,Finance,Financial Analyst,0,0
3424,2025-01-01,Information Technology,QA Engineer,1,0
3426,2025-01-01,Operations,Operations Executive,1,0
3430,2025-01-01,Information Technology,Data Analyst,1,0
3432,2025-01-01,Sales,Sales Supervisor,1,0
3435,2025-01-01,Information Technology,Data Analyst,1,0
3436,2025-01-01,Finance,Accountant,1,0
3437,2025-01-01,Sales,Account Manager,0,1
3438,2025-01-01,Finance,Accountant,1,0
3439,2025-01-01,Human Resources,Recruiter,1,0
3440,2025-01-01,Marketing,Content Specialist,2,1
3443,2025-01-01,Sales,Account Manager,0,0
3445,2025-01-01,Information Technology,System Administrator,1,0
3446,2025-01-01,Sales,Account Manager,2,0
3449,2025-01-01,Marketing,Marketing Executive,1,0
3455,2025-01-01,Operations,Procurement Specialist,3,0
3458,2025-01-01,Marketing,Marketing Manager,0,0
3459,2025-01-01,Information Technology,QA Engineer,2,0
3460,2025-01-01,Sales,Account Manager,0,0
3463,2025-01-01,Finance,Financial Analyst,1,0
3464,2025-01-01,Human Resources,HR Executive,3,1
3468,2025-01-01,Information Technology,Data Analyst,1,0
3469,2025-01-01,Information Technology,Data Analyst,1,0
3471,2025-01-01,Operations,Procurement Specialist,0,1
3472,2025-01-01,Human Resources,Recruiter,1,0
3475,2025-01-01,Human Resources,HR Manager,2,0
3483,2025-01-01,Finance,Accountant,1,0
3486,2025-01-01,Marketing,Marketing Manager,3,0
3488,2025-01-01,Marketing,Marketing Manager,0,1
3491,2025-01-01,Sales,Account Manager,1,1
3492,2025-01-01,Operations,Procurement Specialist,0,1
3495,2025-01-01,Sales,Sales Executive,3,0
3498,2025-01-01,Human Resources,C&B Specialist,3,0
3499,2025-01-01,Operations,Operations Manager,1,0
3500,2025-01-01,Information Technology,Software Engineer,1,0
3508,2025-01-01,Information Technology,Data Analyst,1,0
3514,2025-01-01,Finance,Finance Manager,2,0
3516,2025-01-01,Marketing,Marketing Executive,0,0
3517,2025-01-01,Marketing,Digital Marketing Specialist,1,0
3518,2025-01-01,Marketing,Marketing Manager,1,0
3520,2025-01-01,Operations,Operations Executive,0,0
3521,2025-01-01,Finance,Finance Manager,0,0
3522,2025-01-01,Finance,Internal Auditor,1,0
3523,2025-01-01,Sales,Sales Executive,1,0
3524,2025-01-01,Operations,Warehouse Supervisor,1,0
3526,2025-01-01,Information Technology,Software Engineer,2,0
3529,2025-01-01,Marketing,Marketing Executive,0,0
3530,2025-01-01,Sales,Sales Executive,1,0
3533,2025-01-01,Marketing,Digital Marketing Specialist,1,0
3536,2025-01-01,Marketing,Content Specialist,1,0
3537,2025-01-01,Sales,Account Manager,1,0
3538,2025-01-01,Sales,Account Manager,1,0
3539,2025-01-01,Information Technology,IT Support,1,0
3543,2025-01-01,Finance,Accountant,0,0
3545,2025-01-01,Marketing,Content Specialist,1,0
3546,2025-01-01,Sales,Account Manager,0,0
3547,2025-01-01,Information Technology,QA Engineer,2,0
3548,2025-01-01,Marketing,Content Specialist,2,0
3549,2025-01-01,Marketing,Marketing Manager,1,0
3553,2025-01-01,Human Resources,HR Executive,0,0
3555,2025-01-01,Human Resources,C&B Specialist,2,0
