MaNV,NgayThang,Nam,PhongBan,ChucDanh,CapBacCongViec,Tuoi,KhoangCachTuNha,SoLuongDuAn,SoGioTrungBinhThang,LamThemGio,DiemDanhGiaHieuSuat,DiemHaiLongCongViec,DiemHaiLongMoiTruong,ThuNhapThang,SoNamTaiCongTy,SoNamTuLanThangChucCuoi,DuocThangChucNamTruoc,ThucTeNghiViec,XacSuatNghiViec,DiemNguyCo,DuDoanNghiViec,NguongDuDoan,MucRuiRo,ThuTuRuiRo,LaRuiRoCao,XepHangNguyCo,PhanViNguyCo,MoHinh,PhienBanMoHinh
1201,2025-01-01,2025,Marketing,Marketing Manager,3,45,11,7,232,True,4,4,3,29854000,1,1,False,0,0.24213246526773294,24.21,1,0.16908819344089202,Cao,3,1,718,83.82,Random Forest,RF_2025_V1
1202,2025-01-01,2025,Sales,Sales Executive,2,55,11,3,208,True,4,4,3,26784000,13,13,False,0,0.17726131549544344,17.73,1,0.16908819344089202,Cao,3,1,1374,69.01,Random Forest,RF_2025_V1
1203,2025-01-01,2025,Operations,Operations Executive,2,33,21,7,225,True,4,4,3,20444000,1,1,False,1,0.2835587581762113,28.36,1,0.16908819344089202,Cao,3,1,407,90.84,Random Forest,RF_2025_V1
1204,2025-01-01,2025,Finance,Accountant,1,30,17,5,209,False,3,4,4,9247000,2,2,False,0,0.059342279975015684,5.93,0,0.16908819344089202,Thấp,1,0,4316,2.62,Random Forest,RF_2025_V1
1205,2025-01-01,2025,Finance,Internal Auditor,1,25,16,6,207,False,4,2,4,8786000,1,1,False,0,0.14797169572866253,14.8,0,0.16908819344089202,Trung bình,2,0,1825,58.84,Random Forest,RF_2025_V1
1207,2025-01-01,2025,Operations,Operations Manager,3,47,10,4,237,True,5,4,3,26700000,13,1,False,1,0.21704914898389271,21.7,1,0.16908819344089202,Cao,3,1,951,78.56,Random Forest,RF_2025_V1
1208,2025-01-01,2025,Marketing,Marketing Manager,3,40,11,2,211,True,3,2,1,21419000,4,1,False,1,0.2789186900249733,27.89,1,0.16908819344089202,Cao,3,1,435,90.21,Random Forest,RF_2025_V1
1209,2025-01-01,2025,Marketing,Digital Marketing Specialist,3,25,38,1,222,True,3,3,3,29495000,3,3,False,0,0.2041032475781581,20.41,1,0.16908819344089202,Cao,3,1,1099,75.22,Random Forest,RF_2025_V1
1213,2025-01-01,2025,Information Technology,System Administrator,1,28,40,3,206,True,4,3,3,11240000,2,2,False,0,0.12603758691788144,12.6,0,0.16908819344089202,Trung bình,2,0,2317,47.73,Random Forest,RF_2025_V1
1215,2025-01-01,2025,Information Technology,IT Support,4,30,16,6,215,True,5,2,4,52907000,7,6,False,0,0.31853426952279446,31.85,1,0.16908819344089202,Cao,3,1,256,94.25,Random Forest,RF_2025_V1
1216,2025-01-01,2025,Human Resources,Recruiter,3,28,26,3,245,True,2,3,4,37399000,3,3,False,0,0.2082121264596425,20.82,1,0.16908819344089202,Cao,3,1,1053,76.26,Random Forest,RF_2025_V1
1222,2025-01-01,2025,Marketing,Digital Marketing Specialist,1,48,10,6,213,False,5,3,2,9678000,2,2,False,0,0.1101120959106827,11.01,0,0.16908819344089202,Trung bình,2,0,2747,38.03,Random Forest,RF_2025_V1
1227,2025-01-01,2025,Information Technology,System Administrator,1,54,9,3,194,False,3,1,4,9871000,3,3,False,0,0.08680334932263173,8.68,0,0.16908819344089202,Thấp,1,0,3353,24.35,Random Forest,RF_2025_V1
1229,2025-01-01,2025,Sales,Sales Representative,2,53,7,2,216,True,5,3,1,21159000,6,4,False,0,0.2245756565728749,22.46,1,0.16908819344089202,Cao,3,1,870,80.39,Random Forest,RF_2025_V1
1235,2025-01-01,2025,Human Resources,Recruiter,3,29,25,3,168,False,3,4,2,39296000,3,3,False,0,0.07357179447617124,7.36,0,0.16908819344089202,Thấp,1,0,3885,12.34,Random Forest,RF_2025_V1
1238,2025-01-01,2025,Operations,Warehouse Supervisor,3,36,29,5,210,False,3,2,2,43090000,3,3,False,0,0.14425130868510747,14.43,0,0.16908819344089202,Trung bình,2,0,1889,57.39,Random Forest,RF_2025_V1
1239,2025-01-01,2025,Sales,Account Manager,4,36,34,3,192,False,4,1,3,52742000,1,1,False,1,0.1276529864809559,12.77,0,0.16908819344089202,Trung bình,2,0,2283,48.5,Random Forest,RF_2025_V1
1242,2025-01-01,2025,Finance,Accountant,5,39,8,3,180,False,3,3,2,79617000,14,5,False,0,0.11210945444439674,11.21,0,0.16908819344089202,Trung bình,2,0,2685,39.43,Random Forest,RF_2025_V1
1243,2025-01-01,2025,Human Resources,HR Executive,1,48,21,5,183,False,4,1,4,12153000,13,13,False,0,0.1363241671003131,13.63,0,0.16908819344089202,Trung bình,2,0,2078,53.13,Random Forest,RF_2025_V1
1245,2025-01-01,2025,Information Technology,Software Engineer,2,25,33,1,202,False,3,1,3,25179000,5,5,False,0,0.14936374213638767,14.94,0,0.16908819344089202,Trung bình,2,0,1806,59.26,Random Forest,RF_2025_V1
1248,2025-01-01,2025,Marketing,Marketing Executive,2,28,27,3,235,False,5,4,3,14875000,4,1,False,0,0.14404633190966074,14.4,0,0.16908819344089202,Trung bình,2,0,1891,57.35,Random Forest,RF_2025_V1
1250,2025-01-01,2025,Operations,Operations Executive,2,51,26,2,192,False,5,2,4,15449000,5,3,False,1,0.11306569160013638,11.31,0,0.16908819344089202,Trung bình,2,0,2657,40.06,Random Forest,RF_2025_V1
1251,2025-01-01,2025,Information Technology,System Administrator,1,45,19,3,175,False,3,2,4,10103000,1,1,False,0,0.1052687227798158,10.53,0,0.16908819344089202,Trung bình,2,0,2875,35.14,Random Forest,RF_2025_V1
1253,2025-01-01,2025,Finance,Accountant,5,46,29,5,172,False,2,4,4,79710000,8,0,True,0,0.07287244279254679,7.29,0,0.16908819344089202,Thấp,1,0,3902,11.96,Random Forest,RF_2025_V1
1255,2025-01-01,2025,Finance,Finance Manager,2,32,30,4,178,False,4,1,4,20191000,9,9,False,0,0.13915961515956235,13.92,0,0.16908819344089202,Trung bình,2,0,2002,54.84,Random Forest,RF_2025_V1
1256,2025-01-01,2025,Marketing,Marketing Executive,2,25,2,4,191,False,2,2,4,14768000,2,2,False,0,0.09982586803277672,9.98,0,0.16908819344089202,Thấp,1,0,3006,32.18,Random Forest,RF_2025_V1
1261,2025-01-01,2025,Marketing,Marketing Manager,3,43,18,6,226,False,4,3,4,20000000,4,0,True,0,0.15801934360330194,15.8,0,0.16908819344089202,Trung bình,2,0,1656,62.65,Random Forest,RF_2025_V1
1264,2025-01-01,2025,Finance,Financial Analyst,5,27,17,4,197,False,3,4,3,66373000,7,3,False,0,0.07535394191472544,7.54,0,0.16908819344089202,Thấp,1,0,3805,14.15,Random Forest,RF_2025_V1
1267,2025-01-01,2025,Operations,Procurement Specialist,1,26,6,2,169,False,2,3,4,9896000,1,1,False,0,0.08815461811340354,8.82,0,0.16908819344089202,Thấp,1,0,3320,25.1,Random Forest,RF_2025_V1
1268,2025-01-01,2025,Operations,Operations Executive,1,55,17,1,184,False,2,3,3,11305000,1,1,False,0,0.0945150226781379,9.45,0,0.16908819344089202,Thấp,1,0,3120,29.61,Random Forest,RF_2025_V1
1269,2025-01-01,2025,Human Resources,HR Executive,2,32,8,1,217,False,3,3,3,17857000,9,6,False,0,0.08846365447037256,8.85,0,0.16908819344089202,Thấp,1,0,3308,25.37,Random Forest,RF_2025_V1
1271,2025-01-01,2025,Finance,Internal Auditor,2,35,28,6,216,False,3,3,4,14673000,5,3,False,0,0.08945114025284565,8.95,0,0.16908819344089202,Thấp,1,0,3282,25.95,Random Forest,RF_2025_V1
1272,2025-01-01,2025,Sales,Account Manager,1,31,35,3,178,False,4,4,4,15349000,6,6,False,0,0.0831335018936636,8.31,0,0.16908819344089202,Thấp,1,0,3482,21.44,Random Forest,RF_2025_V1
1276,2025-01-01,2025,Marketing,Content Specialist,3,28,23,3,237,True,4,3,3,37796000,5,5,False,0,0.24154037935000042,24.15,1,0.16908819344089202,Cao,3,1,722,83.73,Random Forest,RF_2025_V1
1281,2025-01-01,2025,Human Resources,HR Executive,2,28,40,4,187,True,5,2,4,14662000,5,2,False,0,0.20811089323001336,20.81,1,0.16908819344089202,Cao,3,1,1055,76.21,Random Forest,RF_2025_V1
1283,2025-01-01,2025,Human Resources,Recruiter,4,28,31,4,217,True,4,4,3,65963000,6,6,False,1,0.15853262121895959,15.85,0,0.16908819344089202,Trung bình,2,0,1646,62.88,Random Forest,RF_2025_V1
1284,2025-01-01,2025,Marketing,Content Specialist,1,52,37,2,195,False,5,2,4,15190000,8,8,False,0,0.13936816530867746,13.94,0,0.16908819344089202,Trung bình,2,0,1998,54.93,Random Forest,RF_2025_V1
1291,2025-01-01,2025,Operations,Operations Executive,1,32,15,4,206,False,2,2,2,9870000,2,2,False,1,0.1431951732394798,14.32,0,0.16908819344089202,Trung bình,2,0,1910,56.92,Random Forest,RF_2025_V1
1294,2025-01-01,2025,Information Technology,Software Engineer,2,50,39,6,189,False,2,3,3,24179000,9,4,False,0,0.08507005495394977,8.51,0,0.16908819344089202,Thấp,1,0,3421,22.82,Random Forest,RF_2025_V1
1295,2025-01-01,2025,Operations,Operations Executive,3,36,19,3,185,False,2,3,3,26958000,13,3,False,0,0.07932987510716426,7.93,0,0.16908819344089202,Thấp,1,0,3651,17.63,Random Forest,RF_2025_V1
1299,2025-01-01,2025,Information Technology,QA Engineer,1,39,6,8,260,True,3,4,2,14448000,13,13,False,1,0.40886735843814137,40.89,1,0.16908819344089202,Cao,3,1,32,99.3,Random Forest,RF_2025_V1
1300,2025-01-01,2025,Human Resources,Recruiter,3,32,4,1,196,False,4,3,4,28113000,12,1,False,0,0.07055459343587199,7.06,0,0.16908819344089202,Thấp,1,0,3980,10.2,Random Forest,RF_2025_V1
1301,2025-01-01,2025,Human Resources,HR Manager,2,45,5,2,162,False,4,4,3,12683000,5,1,False,0,0.06339026487621521,6.34,0,0.16908819344089202,Thấp,1,0,4201,5.21,Random Forest,RF_2025_V1
1305,2025-01-01,2025,Marketing,Content Specialist,2,53,6,5,215,True,3,1,2,14692000,1,1,False,0,0.2785041073947731,27.85,1,0.16908819344089202,Cao,3,1,440,90.09,Random Forest,RF_2025_V1
1306,2025-01-01,2025,Finance,Financial Analyst,3,54,36,1,182,True,5,4,3,21599000,2,1,False,1,0.1319070525786307,13.19,0,0.16908819344089202,Trung bình,2,0,2198,50.42,Random Forest,RF_2025_V1
1307,2025-01-01,2025,Sales,Sales Supervisor,5,48,28,2,192,False,4,4,4,63271000,11,2,False,0,0.06317402549810014,6.32,0,0.16908819344089202,Thấp,1,0,4209,5.03,Random Forest,RF_2025_V1
1308,2025-01-01,2025,Human Resources,HR Executive,1,50,7,2,181,False,2,1,4,13008000,5,5,False,0,0.1369666048079567,13.7,0,0.16908819344089202,Trung bình,2,0,2062,53.49,Random Forest,RF_2025_V1
1310,2025-01-01,2025,Marketing,Content Specialist,2,33,6,8,216,False,3,4,1,15970000,12,4,False,0,0.13286551583506961,13.29,0,0.16908819344089202,Trung bình,2,0,2165,51.16,Random Forest,RF_2025_V1
1314,2025-01-01,2025,Sales,Sales Executive,2,50,14,1,235,True,2,4,4,15038000,13,3,False,0,0.18958768031639037,18.96,1,0.16908819344089202,Cao,3,1,1235,72.15,Random Forest,RF_2025_V1
1316,2025-01-01,2025,Finance,Finance Manager,3,48,23,5,241,False,4,2,2,45062000,9,9,False,0,0.2845144382650152,28.45,1,0.16908819344089202,Cao,3,1,400,91.0,Random Forest,RF_2025_V1
1317,2025-01-01,2025,Human Resources,HR Executive,4,33,8,2,192,False,4,3,4,55386000,9,4,False,1,0.06525858695501872,6.53,0,0.16908819344089202,Thấp,1,0,4140,6.59,Random Forest,RF_2025_V1
1319,2025-01-01,2025,Human Resources,C&B Specialist,2,38,40,4,162,False,4,3,3,29214000,9,9,False,0,0.0723474591659104,7.23,0,0.16908819344089202,Thấp,1,0,3918,11.6,Random Forest,RF_2025_V1
1320,2025-01-01,2025,Finance,Accountant,2,30,26,1,202,True,4,3,2,12000000,1,0,True,0,0.16332549442438948,16.33,0,0.16908819344089202,Trung bình,2,0,1568,64.64,Random Forest,RF_2025_V1
1325,2025-01-01,2025,Information Technology,IT Support,2,36,3,2,143,False,4,2,4,19901000,1,1,False,0,0.10966728956152416,10.97,0,0.16908819344089202,Trung bình,2,0,2761,37.71,Random Forest,RF_2025_V1
1327,2025-01-01,2025,Information Technology,Software Engineer,2,29,20,3,178,False,2,4,3,31115000,6,6,False,0,0.08215102099880892,8.22,0,0.16908819344089202,Thấp,1,0,3520,20.58,Random Forest,RF_2025_V1
1329,2025-01-01,2025,Operations,Warehouse Supervisor,2,32,27,3,187,False,3,3,1,20620000,7,6,False,0,0.12314735980014424,12.31,0,0.16908819344089202,Trung bình,2,0,2381,46.29,Random Forest,RF_2025_V1
1332,2025-01-01,2025,Information Technology,IT Support,3,49,3,7,199,False,4,3,4,45783000,7,7,False,0,0.09075091721416205,9.08,0,0.16908819344089202,Thấp,1,0,3241,26.88,Random Forest,RF_2025_V1
1337,2025-01-01,2025,Information Technology,IT Support,4,42,39,5,200,False,3,4,3,39845000,8,1,False,0,0.06260423579459692,6.26,0,0.16908819344089202,Thấp,1,0,4227,4.63,Random Forest,RF_2025_V1
1341,2025-01-01,2025,Information Technology,Data Analyst,1,36,13,4,185,False,1,2,3,8139000,2,2,False,0,0.0895965012493191,8.96,0,0.16908819344089202,Thấp,1,0,3276,26.09,Random Forest,RF_2025_V1
1343,2025-01-01,2025,Sales,Sales Representative,3,49,2,5,216,True,3,3,1,34238000,11,5,False,1,0.2411200915995956,24.11,1,0.16908819344089202,Cao,3,1,726,83.64,Random Forest,RF_2025_V1
1347,2025-01-01,2025,Operations,Procurement Specialist,4,25,23,2,214,True,3,3,4,54304000,2,2,False,0,0.11906840567128278,11.91,0,0.16908819344089202,Trung bình,2,0,2497,43.67,Random Forest,RF_2025_V1
1348,2025-01-01,2025,Finance,Finance Manager,2,54,28,1,162,False,5,1,4,18471000,10,2,False,1,0.10343474329215512,10.34,0,0.16908819344089202,Trung bình,2,0,2912,34.3,Random Forest,RF_2025_V1
1349,2025-01-01,2025,Information Technology,Software Engineer,3,33,8,1,230,True,1,4,3,21891000,2,1,False,0,0.22350217677907064,22.35,1,0.16908819344089202,Cao,3,1,883,80.09,Random Forest,RF_2025_V1
1352,2025-01-01,2025,Marketing,Marketing Manager,1,51,32,1,176,False,4,4,2,13791000,12,12,False,0,0.11196514464494864,11.2,0,0.16908819344089202,Trung bình,2,0,2688,39.36,Random Forest,RF_2025_V1
1356,2025-01-01,2025,Information Technology,System Administrator,2,36,9,2,213,True,3,4,3,25504000,5,5,False,0,0.18550102751088854,18.55,1,0.16908819344089202,Cao,3,1,1278,71.18,Random Forest,RF_2025_V1
1360,2025-01-01,2025,Marketing,Marketing Executive,1,41,38,4,214,True,3,4,4,9389000,1,1,False,0,0.13795949142562228,13.8,0,0.16908819344089202,Trung bình,2,0,2033,54.14,Random Forest,RF_2025_V1
1361,2025-01-01,2025,Finance,Finance Manager,3,25,40,6,235,False,3,2,4,30548000,1,1,False,0,0.21340624011984513,21.34,1,0.16908819344089202,Cao,3,1,994,77.59,Random Forest,RF_2025_V1
1362,2025-01-01,2025,Finance,Financial Analyst,1,39,23,2,213,True,2,4,3,13512000,4,4,False,0,0.18707767095944627,18.71,1,0.16908819344089202,Cao,3,1,1255,71.7,Random Forest,RF_2025_V1
1365,2025-01-01,2025,Finance,Financial Analyst,2,48,35,4,225,True,3,1,3,23058000,10,10,False,0,0.3535665989018586,35.36,1,0.16908819344089202,Cao,3,1,147,96.71,Random Forest,RF_2025_V1
1366,2025-01-01,2025,Operations,Warehouse Supervisor,5,32,29,2,175,True,4,4,4,81399000,12,1,False,0,0.1230529779297582,12.31,0,0.16908819344089202,Trung bình,2,0,2384,46.22,Random Forest,RF_2025_V1
1372,2025-01-01,2025,Marketing,Content Specialist,2,42,16,1,184,False,4,2,3,18552000,14,0,True,0,0.13639695970617344,13.64,0,0.16908819344089202,Trung bình,2,0,2076,53.17,Random Forest,RF_2025_V1
1375,2025-01-01,2025,Finance,Finance Manager,1,32,8,4,182,False,4,3,4,14838000,6,6,False,0,0.07703231854406872,7.7,0,0.16908819344089202,Thấp,1,0,3745,15.5,Random Forest,RF_2025_V1
1376,2025-01-01,2025,Sales,Sales Representative,4,55,38,2,156,False,3,4,4,61923000,3,3,False,0,0.061439162278348364,6.14,0,0.16908819344089202,Thấp,1,0,4254,4.02,Random Forest,RF_2025_V1
1380,2025-01-01,2025,Marketing,Digital Marketing Specialist,2,42,10,1,204,True,5,3,3,20961000,13,2,False,0,0.12686788959845294,12.69,0,0.16908819344089202,Trung bình,2,0,2304,48.03,Random Forest,RF_2025_V1
1383,2025-01-01,2025,Sales,Sales Supervisor,2,53,3,6,237,False,3,3,3,14164000,3,2,False,0,0.1585088229242634,15.85,0,0.16908819344089202,Trung bình,2,0,1647,62.85,Random Forest,RF_2025_V1
1386,2025-01-01,2025,Marketing,Digital Marketing Specialist,1,37,7,5,232,True,4,2,4,10701000,5,5,False,1,0.3534431091294254,35.34,1,0.16908819344089202,Cao,3,1,148,96.68,Random Forest,RF_2025_V1
1388,2025-01-01,2025,Marketing,Digital Marketing Specialist,2,33,6,4,159,False,4,1,1,22259000,12,0,True,0,0.1776826248828881,17.77,1,0.16908819344089202,Cao,3,1,1365,69.22,Random Forest,RF_2025_V1
1392,2025-01-01,2025,Finance,Financial Analyst,4,43,24,3,177,True,3,4,3,52129000,15,6,False,0,0.16332194742774095,16.33,0,0.16908819344089202,Trung bình,2,0,1569,64.61,Random Forest,RF_2025_V1
1393,2025-01-01,2025,Sales,Sales Supervisor,4,51,18,3,183,True,4,4,3,47075000,3,3,False,0,0.11213633062074528,11.21,0,0.16908819344089202,Trung bình,2,0,2684,39.45,Random Forest,RF_2025_V1
1394,2025-01-01,2025,Marketing,Content Specialist,2,44,35,3,210,False,1,3,2,19203000,1,1,False,0,0.09460642130262659,9.46,0,0.16908819344089202,Thấp,1,0,3119,29.63,Random Forest,RF_2025_V1
1395,2025-01-01,2025,Human Resources,HR Manager,1,27,32,3,173,False,4,4,2,8982000,2,2,False,0,0.0702379467310921,7.02,0,0.16908819344089202,Thấp,1,0,3990,9.98,Random Forest,RF_2025_V1
1397,2025-01-01,2025,Finance,Accountant,2,42,39,1,181,False,3,3,1,24805000,7,1,False,0,0.0864883582653096,8.65,0,0.16908819344089202,Thấp,1,0,3372,23.92,Random Forest,RF_2025_V1
1398,2025-01-01,2025,Operations,Warehouse Supervisor,1,28,19,4,175,False,3,3,2,18219000,7,7,False,0,0.13354165172029944,13.35,0,0.16908819344089202,Trung bình,2,0,2146,51.59,Random Forest,RF_2025_V1
1399,2025-01-01,2025,Finance,Finance Manager,3,49,25,4,189,False,5,3,4,24632000,3,0,True,0,0.06820409399304432,6.82,0,0.16908819344089202,Thấp,1,0,4053,8.55,Random Forest,RF_2025_V1
1402,2025-01-01,2025,Marketing,Digital Marketing Specialist,3,44,3,5,178,False,4,3,3,22675000,1,1,False,0,0.07333348303975389,7.33,0,0.16908819344089202,Thấp,1,0,3893,12.16,Random Forest,RF_2025_V1
1404,2025-01-01,2025,Finance,Finance Manager,1,51,3,3,172,False,2,1,4,15168000,14,14,False,0,0.13890906836294417,13.89,0,0.16908819344089202,Trung bình,2,0,2007,54.73,Random Forest,RF_2025_V1
1406,2025-01-01,2025,Sales,Sales Supervisor,2,43,1,1,194,True,4,4,2,19723000,5,5,False,0,0.2156056141534707,21.56,1,0.16908819344089202,Cao,3,1,969,78.15,Random Forest,RF_2025_V1
1407,2025-01-01,2025,Operations,Operations Manager,2,44,5,6,208,False,4,4,2,13714000,3,2,False,0,0.09921581400496218,9.92,0,0.16908819344089202,Thấp,1,0,3024,31.78,Random Forest,RF_2025_V1
1410,2025-01-01,2025,Information Technology,IT Support,1,34,30,1,194,True,4,4,4,17041000,8,8,False,0,0.1639536343799797,16.4,0,0.16908819344089202,Trung bình,2,0,1561,64.79,Random Forest,RF_2025_V1
1412,2025-01-01,2025,Sales,Account Manager,2,30,30,3,201,False,2,3,2,14210000,2,1,False,0,0.08303295272937213,8.3,0,0.16908819344089202,Thấp,1,0,3487,21.33,Random Forest,RF_2025_V1
1413,2025-01-01,2025,Human Resources,HR Manager,2,51,23,4,217,True,4,4,2,24910000,12,12,False,0,0.2686048558717142,26.86,1,0.16908819344089202,Cao,3,1,510,88.51,Random Forest,RF_2025_V1
1415,2025-01-01,2025,Sales,Sales Executive,2,48,20,6,221,False,5,2,3,26034000,10,10,False,0,0.23460280588724705,23.46,1,0.16908819344089202,Cao,3,1,783,82.35,Random Forest,RF_2025_V1
1418,2025-01-01,2025,Marketing,Marketing Executive,2,30,7,3,233,True,5,2,3,16296000,1,1,False,0,0.2868157647787914,28.68,1,0.16908819344089202,Cao,3,1,385,91.33,Random Forest,RF_2025_V1
1421,2025-01-01,2025,Marketing,Content Specialist,1,48,33,3,202,False,4,1,4,12647000,10,10,False,1,0.14065864732399852,14.07,0,0.16908819344089202,Trung bình,2,0,1963,55.72,Random Forest,RF_2025_V1
1425,2025-01-01,2025,Human Resources,HR Executive,3,43,38,3,165,False,3,2,3,48703000,15,15,False,0,0.15025097623423664,15.03,0,0.16908819344089202,Trung bình,2,0,1785,59.74,Random Forest,RF_2025_V1
1428,2025-01-01,2025,Sales,Sales Supervisor,4,47,9,1,153,False,4,3,1,50169000,2,2,False,1,0.07616042731377369,7.62,0,0.16908819344089202,Thấp,1,0,3779,14.74,Random Forest,RF_2025_V1
1429,2025-01-01,2025,Information Technology,IT Support,5,50,30,3,239,True,3,3,4,67532000,11,3,False,0,0.18847661568647237,18.85,1,0.16908819344089202,Cao,3,1,1244,71.95,Random Forest,RF_2025_V1
1430,2025-01-01,2025,Operations,Warehouse Supervisor,2,36,25,3,204,False,3,2,3,19412000,8,1,False,0,0.12775868253851153,12.78,0,0.16908819344089202,Trung bình,2,0,2281,48.54,Random Forest,RF_2025_V1
1431,2025-01-01,2025,Finance,Internal Auditor,1,29,24,5,241,True,3,3,2,8501000,1,1,False,0,0.2801939435010564,28.02,1,0.16908819344089202,Cao,3,1,428,90.36,Random Forest,RF_2025_V1
1432,2025-01-01,2025,Sales,Sales Supervisor,1,27,37,6,222,False,2,3,4,11448000,6,6,False,0,0.14001838672789282,14.0,0,0.16908819344089202,Trung bình,2,0,1975,55.45,Random Forest,RF_2025_V1
1433,2025-01-01,2025,Finance,Internal Auditor,3,35,22,2,192,True,4,1,3,33743000,7,7,False,0,0.2693542975205157,26.94,1,0.16908819344089202,Cao,3,1,503,88.67,Random Forest,RF_2025_V1
1434,2025-01-01,2025,Marketing,Content Specialist,1,32,23,1,222,True,4,2,3,19026000,6,6,False,1,0.29916175717595794,29.92,1,0.16908819344089202,Cao,3,1,336,92.44,Random Forest,RF_2025_V1
1437,2025-01-01,2025,Marketing,Content Specialist,3,46,20,2,189,True,4,2,4,29706000,2,2,False,0,0.18618042414562164,18.62,1,0.16908819344089202,Cao,3,1,1267,71.43,Random Forest,RF_2025_V1
1438,2025-01-01,2025,Information Technology,QA Engineer,1,25,24,4,235,True,4,3,2,11846000,2,2,False,0,0.25339865790967125,25.34,1,0.16908819344089202,Cao,3,1,629,85.83,Random Forest,RF_2025_V1
1439,2025-01-01,2025,Information Technology,Software Engineer,3,42,12,3,240,True,3,2,1,24295000,4,3,False,1,0.40076938159282816,40.08,1,0.16908819344089202,Cao,3,1,54,98.8,Random Forest,RF_2025_V1
1443,2025-01-01,2025,Finance,Internal Auditor,1,33,18,3,197,True,2,4,3,10761000,6,6,False,0,0.17994031386039125,17.99,1,0.16908819344089202,Cao,3,1,1336,69.87,Random Forest,RF_2025_V1
1446,2025-01-01,2025,Operations,Operations Executive,4,50,22,1,203,False,2,3,2,36822000,4,1,False,0,0.10753840359213139,10.75,0,0.16908819344089202,Trung bình,2,0,2827,36.22,Random Forest,RF_2025_V1
1448,2025-01-01,2025,Human Resources,HR Executive,3,38,21,3,146,False,4,4,4,30489000,2,2,False,0,0.054410886689981945,5.44,0,0.16908819344089202,Thấp,1,0,4400,0.72,Random Forest,RF_2025_V1
1450,2025-01-01,2025,Operations,Warehouse Supervisor,5,44,5,8,203,False,3,4,3,95147000,12,4,False,0,0.098427675951935,9.84,0,0.16908819344089202,Thấp,1,0,3042,31.37,Random Forest,RF_2025_V1
1453,2025-01-01,2025,Finance,Internal Auditor,1,41,6,3,178,False,3,3,3,10952000,3,3,False,0,0.0673457768408091,6.73,0,0.16908819344089202,Thấp,1,0,4077,8.01,Random Forest,RF_2025_V1
1456,2025-01-01,2025,Sales,Sales Representative,1,32,29,8,221,False,2,4,4,11476000,9,9,False,0,0.14998158478130427,15.0,0,0.16908819344089202,Trung bình,2,0,1791,59.6,Random Forest,RF_2025_V1
1457,2025-01-01,2025,Human Resources,Recruiter,3,42,31,5,227,True,3,1,4,46935000,11,11,False,0,0.36584810060866224,36.58,1,0.16908819344089202,Cao,3,1,117,97.38,Random Forest,RF_2025_V1
1460,2025-01-01,2025,Human Resources,Recruiter,3,38,14,8,218,False,3,4,4,24622000,4,2,False,0,0.09539792656986738,9.54,0,0.16908819344089202,Thấp,1,0,3102,30.02,Random Forest,RF_2025_V1
1461,2025-01-01,2025,Human Resources,HR Manager,3,29,3,2,234,True,4,1,1,36198000,2,2,False,1,0.34985423922238257,34.99,1,0.16908819344089202,Cao,3,1,153,96.57,Random Forest,RF_2025_V1
1462,2025-01-01,2025,Operations,Operations Manager,3,47,9,6,170,False,4,2,4,32790000,4,4,False,1,0.15862054970265316,15.86,0,0.16908819344089202,Trung bình,2,0,1644,62.92,Random Forest,RF_2025_V1
1464,2025-01-01,2025,Information Technology,System Administrator,2,43,37,4,199,False,3,3,4,21403000,2,2,False,0,0.0645644463138445,6.46,0,0.16908819344089202,Thấp,1,0,4163,6.07,Random Forest,RF_2025_V1
1465,2025-01-01,2025,Information Technology,QA Engineer,3,41,28,6,233,True,2,2,3,50035000,14,14,False,1,0.40639924534785854,40.64,1,0.16908819344089202,Cao,3,1,41,99.1,Random Forest,RF_2025_V1
1466,2025-01-01,2025,Information Technology,IT Support,5,48,18,6,222,True,3,1,1,93458000,8,6,False,0,0.40848723681686505,40.85,1,0.16908819344089202,Cao,3,1,33,99.28,Random Forest,RF_2025_V1
1470,2025-01-01,2025,Marketing,Marketing Executive,4,28,25,4,204,False,4,4,4,41292000,8,1,False,0,0.06732345628415971,6.73,0,0.16908819344089202,Thấp,1,0,4079,7.97,Random Forest,RF_2025_V1
1474,2025-01-01,2025,Marketing,Marketing Executive,2,49,36,2,166,False,4,4,3,27529000,7,7,False,0,0.0666479683338877,6.66,0,0.16908819344089202,Thấp,1,0,4098,7.54,Random Forest,RF_2025_V1
1475,2025-01-01,2025,Finance,Accountant,2,31,18,5,189,False,3,4,4,13281000,3,1,False,0,0.062077253504341706,6.21,0,0.16908819344089202,Thấp,1,0,4243,4.27,Random Forest,RF_2025_V1
1478,2025-01-01,2025,Marketing,Content Specialist,3,39,15,8,215,False,4,4,4,27945000,9,5,False,0,0.09947862056626176,9.95,0,0.16908819344089202,Thấp,1,0,3013,32.02,Random Forest,RF_2025_V1
1479,2025-01-01,2025,Sales,Sales Supervisor,1,47,29,2,192,False,4,4,3,12944000,1,1,False,0,0.07223475169762626,7.22,0,0.16908819344089202,Thấp,1,0,3921,11.53,Random Forest,RF_2025_V1
1480,2025-01-01,2025,Human Resources,C&B Specialist,1,41,19,3,185,False,5,4,4,11877000,10,10,False,0,0.07799903936431676,7.8,0,0.16908819344089202,Thấp,1,0,3711,16.27,Random Forest,RF_2025_V1
