MaNV,NgayThang,Nam,PhongBan,ChucDanh,ThucTeNghiViec,XacSuatNghiViec,DuDoanNghiViec,NguongDuDoan,MucRuiRo,ThuTuRuiRo,DiemNguyCo,LaRuiRoCao,LaRuiRoTrungBinh,LaRuiRoThap,XepHangNguyCo,PhanViNguyCo
2355,2025-01-01,2025,Operations,Operations Manager,0,0.1317202032436183,0,0.16908819344089202,Trung bình,2,13.17,0,1,0,2202,50.33
2364,2025-01-01,2025,Marketing,Content Specialist,0,0.12063455774680112,0,0.16908819344089202,Trung bình,2,12.06,0,1,0,2453,44.66
2366,2025-01-01,2025,Marketing,Marketing Executive,1,0.45790010517001634,1,0.16908819344089202,Cao,3,45.79,1,0,0,10,99.8
2370,2025-01-01,2025,Operations,Procurement Specialist,0,0.35756389955252393,1,0.16908819344089202,Cao,3,35.76,1,0,0,138,96.91
2373,2025-01-01,2025,Operations,Operations Manager,0,0.2043226010268315,1,0.16908819344089202,Cao,3,20.43,1,0,0,1098,75.24
2375,2025-01-01,2025,Operations,Warehouse Supervisor,1,0.4070578026411926,1,0.16908819344089202,Cao,3,40.71,1,0,0,37,99.19
2381,2025-01-01,2025,Human Resources,HR Executive,0,0.29108684755615416,1,0.16908819344089202,Cao,3,29.11,1,0,0,366,91.76
2382,2025-01-01,2025,Human Resources,HR Manager,0,0.06915207197519399,0,0.16908819344089202,Thấp,1,6.92,0,0,1,4025,9.19
2386,2025-01-01,2025,Operations,Operations Executive,0,0.08153695742442539,0,0.16908819344089202,Thấp,1,8.15,0,0,1,3545,20.02
2387,2025-01-01,2025,Information Technology,QA Engineer,0,0.2710402207076214,1,0.16908819344089202,Cao,3,27.1,1,0,0,487,89.03
2388,2025-01-01,2025,Finance,Internal Auditor,0,0.06198247450756378,0,0.16908819344089202,Thấp,1,6.2,0,0,1,4248,4.15
2392,2025-01-01,2025,Operations,Procurement Specialist,0,0.07959227563798693,0,0.16908819344089202,Thấp,1,7.96,0,0,1,3641,17.85
2394,2025-01-01,2025,Sales,Sales Supervisor,0,0.06578687598175453,0,0.16908819344089202,Thấp,1,6.58,0,0,1,4125,6.93
2395,2025-01-01,2025,Sales,Sales Executive,1,0.23419547178607047,1,0.16908819344089202,Cao,3,23.42,1,0,0,790,82.19
2399,2025-01-01,2025,Human Resources,HR Manager,0,0.08028799486258748,0,0.16908819344089202,Thấp,1,8.03,0,0,1,3608,18.6
2400,2025-01-01,2025,Information Technology,Data Analyst,0,0.0826736418527617,0,0.16908819344089202,Thấp,1,8.27,0,0,1,3499,21.06
2401,2025-01-01,2025,Marketing,Marketing Executive,0,0.1223580087061754,0,0.16908819344089202,Trung bình,2,12.24,0,1,0,2401,45.84
2403,2025-01-01,2025,Human Resources,HR Executive,0,0.1805914216887977,1,0.16908819344089202,Cao,3,18.06,1,0,0,1329,70.03
2406,2025-01-01,2025,Marketing,Marketing Executive,0,0.1264397699459517,0,0.16908819344089202,Trung bình,2,12.64,0,1,0,2310,47.89
2411,2025-01-01,2025,Information Technology,Software Engineer,0,0.370156743127688,1,0.16908819344089202,Cao,3,37.02,1,0,0,106,97.63
2412,2025-01-01,2025,Marketing,Content Specialist,0,0.13230553627932864,0,0.16908819344089202,Trung bình,2,13.23,0,1,0,2187,50.67
2413,2025-01-01,2025,Sales,Account Manager,0,0.31182024960748067,1,0.16908819344089202,Cao,3,31.18,1,0,0,289,93.5
2414,2025-01-01,2025,Operations,Procurement Specialist,1,0.3933425548107338,1,0.16908819344089202,Cao,3,39.33,1,0,0,65,98.56
2415,2025-01-01,2025,Information Technology,Software Engineer,0,0.16012887027244205,0,0.16908819344089202,Trung bình,2,16.01,0,1,0,1618,63.51
2417,2025-01-01,2025,Human Resources,Recruiter,0,0.33478797732951954,1,0.16908819344089202,Cao,3,33.48,1,0,0,201,95.49
2419,2025-01-01,2025,Information Technology,Data Analyst,0,0.0915059463405505,0,0.16908819344089202,Thấp,1,9.15,0,0,1,3213,27.51
2420,2025-01-01,2025,Marketing,Marketing Manager,0,0.10895417293001235,0,0.16908819344089202,Trung bình,2,10.9,0,1,0,2778,37.33
2422,2025-01-01,2025,Marketing,Marketing Manager,0,0.06378612900790441,0,0.16908819344089202,Thấp,1,6.38,0,0,1,4190,5.46
2423,2025-01-01,2025,Marketing,Marketing Executive,1,0.12135618905283996,0,0.16908819344089202,Trung bình,2,12.14,0,1,0,2433,45.11
2428,2025-01-01,2025,Sales,Sales Executive,0,0.13119725122376968,0,0.16908819344089202,Trung bình,2,13.12,0,1,0,2214,50.06
2429,2025-01-01,2025,Human Resources,HR Manager,0,0.15330129938546258,0,0.16908819344089202,Trung bình,2,15.33,0,1,0,1729,61.0
2430,2025-01-01,2025,Information Technology,Data Analyst,0,0.0969648478808706,0,0.16908819344089202,Thấp,1,9.7,0,0,1,3066,30.83
2431,2025-01-01,2025,Marketing,Content Specialist,0,0.13961182247297366,0,0.16908819344089202,Trung bình,2,13.96,0,1,0,1988,55.16
2432,2025-01-01,2025,Information Technology,Software Engineer,0,0.07589500512360102,0,0.16908819344089202,Thấp,1,7.59,0,0,1,3786,14.58
2434,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.13048792223103717,0,0.16908819344089202,Trung bình,2,13.05,0,1,0,2236,49.56
2436,2025-01-01,2025,Marketing,Marketing Executive,0,0.1330651140197275,0,0.16908819344089202,Trung bình,2,13.31,0,1,0,2160,51.28
2439,2025-01-01,2025,Finance,Accountant,0,0.33216397655166263,1,0.16908819344089202,Cao,3,33.22,1,0,0,211,95.26
2441,2025-01-01,2025,Marketing,Marketing Manager,0,0.07690965847203958,0,0.16908819344089202,Thấp,1,7.69,0,0,1,3748,15.44
2442,2025-01-01,2025,Finance,Accountant,0,0.0738281890364349,0,0.16908819344089202,Thấp,1,7.38,0,0,1,3871,12.66
2447,2025-01-01,2025,Sales,Sales Executive,0,0.0849262322302738,0,0.16908819344089202,Thấp,1,8.49,0,0,1,3428,22.66
2449,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.17250304778863557,1,0.16908819344089202,Cao,3,17.25,1,0,0,1448,67.34
2451,2025-01-01,2025,Information Technology,Software Engineer,0,0.09629726531168835,0,0.16908819344089202,Thấp,1,9.63,0,0,1,3080,30.51
2452,2025-01-01,2025,Human Resources,Recruiter,0,0.17413459103937085,1,0.16908819344089202,Cao,3,17.41,1,0,0,1424,67.89
2455,2025-01-01,2025,Information Technology,IT Support,0,0.22097859230512432,1,0.16908819344089202,Cao,3,22.1,1,0,0,904,79.62
2457,2025-01-01,2025,Operations,Procurement Specialist,0,0.08150850535091356,0,0.16908819344089202,Thấp,1,8.15,0,0,1,3547,19.97
2458,2025-01-01,2025,Finance,Accountant,0,0.11352928677846295,0,0.16908819344089202,Trung bình,2,11.35,0,1,0,2638,40.49
2459,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.38922280185580577,1,0.16908819344089202,Cao,3,38.92,1,0,0,72,98.4
2461,2025-01-01,2025,Finance,Internal Auditor,0,0.08302746166173688,0,0.16908819344089202,Thấp,1,8.3,0,0,1,3488,21.3
2469,2025-01-01,2025,Information Technology,IT Support,0,0.20747891076435324,1,0.16908819344089202,Cao,3,20.75,1,0,0,1063,76.03
2470,2025-01-01,2025,Information Technology,Data Analyst,0,0.060322129007123804,0,0.16908819344089202,Thấp,1,6.03,0,0,1,4290,3.2
2471,2025-01-01,2025,Finance,Financial Analyst,0,0.10437825049394131,0,0.16908819344089202,Trung bình,2,10.44,0,1,0,2893,34.73
2473,2025-01-01,2025,Marketing,Marketing Manager,0,0.10195036881886643,0,0.16908819344089202,Trung bình,2,10.2,0,1,0,2953,33.38
2474,2025-01-01,2025,Human Resources,Recruiter,1,0.19111495654666075,1,0.16908819344089202,Cao,3,19.11,1,0,0,1218,72.53
2477,2025-01-01,2025,Information Technology,System Administrator,0,0.10080816437263336,0,0.16908819344089202,Trung bình,2,10.08,0,1,0,2977,32.84
2479,2025-01-01,2025,Sales,Sales Representative,0,0.10587068579137536,0,0.16908819344089202,Trung bình,2,10.59,0,1,0,2865,35.36
2482,2025-01-01,2025,Information Technology,Software Engineer,1,0.19823044208668686,1,0.16908819344089202,Cao,3,19.82,1,0,0,1153,74.0
2483,2025-01-01,2025,Finance,Financial Analyst,0,0.07175149716247164,0,0.16908819344089202,Thấp,1,7.18,0,0,1,3939,11.13
2485,2025-01-01,2025,Marketing,Content Specialist,0,0.216590365453311,1,0.16908819344089202,Cao,3,21.66,1,0,0,955,78.47
2493,2025-01-01,2025,Operations,Procurement Specialist,0,0.26454285536214667,1,0.16908819344089202,Cao,3,26.45,1,0,0,539,87.86
2494,2025-01-01,2025,Information Technology,Software Engineer,0,0.11320815294101669,0,0.16908819344089202,Trung bình,2,11.32,0,1,0,2651,40.19
2496,2025-01-01,2025,Human Resources,HR Executive,0,0.08026076178337917,0,0.16908819344089202,Thấp,1,8.03,0,0,1,3611,18.53
2499,2025-01-01,2025,Finance,Finance Manager,0,0.10273124993664917,0,0.16908819344089202,Trung bình,2,10.27,0,1,0,2924,34.03
2501,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.08191307004116405,0,0.16908819344089202,Thấp,1,8.19,0,0,1,3532,20.31
2502,2025-01-01,2025,Sales,Sales Executive,0,0.2315730164710841,1,0.16908819344089202,Cao,3,23.16,1,0,0,816,81.61
2503,2025-01-01,2025,Sales,Sales Executive,0,0.07361399106548651,0,0.16908819344089202,Thấp,1,7.36,0,0,1,3883,12.39
2504,2025-01-01,2025,Information Technology,Data Analyst,0,0.203151586175157,1,0.16908819344089202,Cao,3,20.32,1,0,0,1108,75.02
2508,2025-01-01,2025,Operations,Operations Manager,1,0.17695837147146803,1,0.16908819344089202,Cao,3,17.7,1,0,0,1379,68.9
2511,2025-01-01,2025,Finance,Accountant,0,0.22031331906802318,1,0.16908819344089202,Cao,3,22.03,1,0,0,915,79.37
2512,2025-01-01,2025,Information Technology,Software Engineer,0,0.11457028684257163,0,0.16908819344089202,Trung bình,2,11.46,0,1,0,2605,41.23
2515,2025-01-01,2025,Information Technology,QA Engineer,0,0.13933452247178602,0,0.16908819344089202,Trung bình,2,13.93,0,1,0,1999,54.91
2516,2025-01-01,2025,Finance,Finance Manager,0,0.33060180130495387,1,0.16908819344089202,Cao,3,33.06,1,0,0,219,95.08
2520,2025-01-01,2025,Finance,Accountant,0,0.05574715040419926,0,0.16908819344089202,Thấp,1,5.57,0,0,1,4378,1.22
2522,2025-01-01,2025,Operations,Procurement Specialist,0,0.08380877997602626,0,0.16908819344089202,Thấp,1,8.38,0,0,1,3467,21.78
2524,2025-01-01,2025,Finance,Internal Auditor,0,0.1354014528287905,0,0.16908819344089202,Trung bình,2,13.54,0,1,0,2102,52.58
2525,2025-01-01,2025,Human Resources,HR Manager,0,0.3714633132515551,1,0.16908819344089202,Cao,3,37.15,1,0,0,103,97.7
2526,2025-01-01,2025,Marketing,Content Specialist,0,0.20339263191777407,1,0.16908819344089202,Cao,3,20.34,1,0,0,1105,75.08
2527,2025-01-01,2025,Finance,Finance Manager,0,0.05599276105120549,0,0.16908819344089202,Thấp,1,5.6,0,0,1,4373,1.33
2530,2025-01-01,2025,Information Technology,System Administrator,0,0.13446128690069625,0,0.16908819344089202,Trung bình,2,13.45,0,1,0,2124,52.09
2531,2025-01-01,2025,Human Resources,Recruiter,0,0.10426864453679965,0,0.16908819344089202,Trung bình,2,10.43,0,1,0,2896,34.66
2533,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.08498951502473187,0,0.16908819344089202,Thấp,1,8.5,0,0,1,3423,22.77
2537,2025-01-01,2025,Operations,Procurement Specialist,0,0.07101361387728139,0,0.16908819344089202,Thấp,1,7.1,0,0,1,3966,10.52
2539,2025-01-01,2025,Marketing,Content Specialist,1,0.06747997254523791,0,0.16908819344089202,Thấp,1,6.75,0,0,1,4074,8.08
2542,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.08877237974224216,0,0.16908819344089202,Thấp,1,8.88,0,0,1,3300,25.55
2547,2025-01-01,2025,Finance,Finance Manager,0,0.12038444315677263,0,0.16908819344089202,Trung bình,2,12.04,0,1,0,2462,44.46
2549,2025-01-01,2025,Information Technology,Data Analyst,0,0.06348544463496529,0,0.16908819344089202,Thấp,1,6.35,0,0,1,4199,5.26
2550,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.31749840277883634,1,0.16908819344089202,Cao,3,31.75,1,0,0,261,94.13
2551,2025-01-01,2025,Information Technology,IT Support,0,0.27768176218626955,1,0.16908819344089202,Cao,3,27.77,1,0,0,447,89.93
2554,2025-01-01,2025,Marketing,Marketing Manager,0,0.17958455318186947,1,0.16908819344089202,Cao,3,17.96,1,0,0,1341,69.76
2557,2025-01-01,2025,Marketing,Marketing Executive,0,0.21204336174511043,1,0.16908819344089202,Cao,3,21.2,1,0,0,1009,77.25
2558,2025-01-01,2025,Marketing,Content Specialist,0,0.07755033299196415,0,0.16908819344089202,Thấp,1,7.76,0,0,1,3729,15.87
2560,2025-01-01,2025,Sales,Sales Executive,0,0.10046025900136786,0,0.16908819344089202,Trung bình,2,10.05,0,1,0,2985,32.66
2561,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.13711713734094166,0,0.16908819344089202,Trung bình,2,13.71,0,1,0,2058,53.58
2563,2025-01-01,2025,Operations,Operations Manager,0,0.1386552407056585,0,0.16908819344089202,Trung bình,2,13.87,0,1,0,2017,54.5
2564,2025-01-01,2025,Marketing,Marketing Manager,0,0.17487287566923443,1,0.16908819344089202,Cao,3,17.49,1,0,0,1408,68.25
2566,2025-01-01,2025,Marketing,Marketing Executive,0,0.12172274802647337,0,0.16908819344089202,Trung bình,2,12.17,0,1,0,2423,45.34
2568,2025-01-01,2025,Finance,Finance Manager,0,0.3138149458550165,1,0.16908819344089202,Cao,3,31.38,1,0,0,281,93.68
2569,2025-01-01,2025,Information Technology,QA Engineer,1,0.297723440706276,1,0.16908819344089202,Cao,3,29.77,1,0,0,341,92.33
2571,2025-01-01,2025,Information Technology,System Administrator,0,0.059655967555602964,0,0.16908819344089202,Thấp,1,5.97,0,0,1,4307,2.82
2572,2025-01-01,2025,Finance,Accountant,0,0.1700388487999925,1,0.16908819344089202,Cao,3,17.0,1,0,0,1480,66.62
2573,2025-01-01,2025,Sales,Sales Executive,1,0.1333684794893458,0,0.16908819344089202,Trung bình,2,13.34,0,1,0,2152,51.46
2574,2025-01-01,2025,Information Technology,QA Engineer,0,0.20733872354110847,1,0.16908819344089202,Cao,3,20.73,1,0,0,1065,75.99
2576,2025-01-01,2025,Human Resources,Recruiter,1,0.19984611450912554,1,0.16908819344089202,Cao,3,19.98,1,0,0,1143,74.23
2577,2025-01-01,2025,Marketing,Content Specialist,0,0.11644740248394217,0,0.16908819344089202,Trung bình,2,11.64,0,1,0,2550,42.47
2579,2025-01-01,2025,Operations,Procurement Specialist,0,0.08289473701097798,0,0.16908819344089202,Thấp,1,8.29,0,0,1,3491,21.24
2581,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.05948023757372895,0,0.16908819344089202,Thấp,1,5.95,0,0,1,4313,2.69
2584,2025-01-01,2025,Sales,Sales Supervisor,0,0.10389741399496906,0,0.16908819344089202,Trung bình,2,10.39,0,1,0,2900,34.57
2585,2025-01-01,2025,Sales,Account Manager,0,0.14849665122138467,0,0.16908819344089202,Trung bình,2,14.85,0,1,0,1814,59.08
2587,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.0693216466750491,0,0.16908819344089202,Thấp,1,6.93,0,0,1,4019,9.32
2588,2025-01-01,2025,Marketing,Marketing Manager,0,0.24026607091817795,1,0.16908819344089202,Cao,3,24.03,1,0,0,731,83.53
2593,2025-01-01,2025,Finance,Accountant,0,0.14356826505392464,0,0.16908819344089202,Trung bình,2,14.36,0,1,0,1900,57.14
2596,2025-01-01,2025,Marketing,Content Specialist,0,0.15302478092013994,0,0.16908819344089202,Trung bình,2,15.3,0,1,0,1735,60.87
2597,2025-01-01,2025,Finance,Accountant,0,0.3164818891272473,1,0.16908819344089202,Cao,3,31.65,1,0,0,264,94.06
2599,2025-01-01,2025,Sales,Account Manager,0,0.07766754934467189,0,0.16908819344089202,Thấp,1,7.77,0,0,1,3725,15.96
2602,2025-01-01,2025,Operations,Warehouse Supervisor,1,0.2752691210501782,1,0.16908819344089202,Cao,3,27.53,1,0,0,461,89.62
2605,2025-01-01,2025,Human Resources,Recruiter,1,0.24492479413667131,1,0.16908819344089202,Cao,3,24.49,1,0,0,702,84.18
2607,2025-01-01,2025,Operations,Warehouse Supervisor,1,0.1798065780327458,1,0.16908819344089202,Cao,3,17.98,1,0,0,1339,69.8
2609,2025-01-01,2025,Operations,Operations Manager,1,0.08697438906126702,0,0.16908819344089202,Thấp,1,8.7,0,0,1,3349,24.44
2614,2025-01-01,2025,Information Technology,Data Analyst,0,0.057591359721006166,0,0.16908819344089202,Thấp,1,5.76,0,0,1,4350,1.85
2615,2025-01-01,2025,Information Technology,System Administrator,0,0.18367011005859435,1,0.16908819344089202,Cao,3,18.37,1,0,0,1295,70.8
2616,2025-01-01,2025,Human Resources,HR Manager,0,0.07221189165244646,0,0.16908819344089202,Thấp,1,7.22,0,0,1,3922,11.51
2618,2025-01-01,2025,Human Resources,HR Manager,0,0.32107969042992324,1,0.16908819344089202,Cao,3,32.11,1,0,0,248,94.43
2623,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.13373665048172734,0,0.16908819344089202,Trung bình,2,13.37,0,1,0,2140,51.73
2624,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.09236875963624455,0,0.16908819344089202,Thấp,1,9.24,0,0,1,3184,28.17
2626,2025-01-01,2025,Marketing,Marketing Executive,0,0.15004042609924034,0,0.16908819344089202,Trung bình,2,15.0,0,1,0,1790,59.63
2629,2025-01-01,2025,Human Resources,C&B Specialist,0,0.0727440398798894,0,0.16908819344089202,Thấp,1,7.27,0,0,1,3906,11.87
2630,2025-01-01,2025,Operations,Procurement Specialist,1,0.12742469154761146,0,0.16908819344089202,Trung bình,2,12.74,0,1,0,2292,48.3
2635,2025-01-01,2025,Finance,Accountant,0,0.08518686319436544,0,0.16908819344089202,Thấp,1,8.52,0,0,1,3416,22.93
2637,2025-01-01,2025,Human Resources,C&B Specialist,0,0.05971362087079764,0,0.16908819344089202,Thấp,1,5.97,0,0,1,4305,2.87
2639,2025-01-01,2025,Finance,Internal Auditor,0,0.17654771060987323,1,0.16908819344089202,Cao,3,17.65,1,0,0,1388,68.7
2640,2025-01-01,2025,Human Resources,C&B Specialist,0,0.06280959179813102,0,0.16908819344089202,Thấp,1,6.28,0,0,1,4219,4.81
2642,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.1924255685244887,1,0.16908819344089202,Cao,3,19.24,1,0,0,1205,72.83
2643,2025-01-01,2025,Marketing,Content Specialist,0,0.1734147302233313,1,0.16908819344089202,Cao,3,17.34,1,0,0,1437,67.59
2644,2025-01-01,2025,Information Technology,IT Support,0,0.3059221519224348,1,0.16908819344089202,Cao,3,30.59,1,0,0,309,93.05
2645,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.23511974484791126,1,0.16908819344089202,Cao,3,23.51,1,0,0,777,82.49
2646,2025-01-01,2025,Sales,Sales Supervisor,0,0.0790712633328725,0,0.16908819344089202,Thấp,1,7.91,0,0,1,3664,17.33
2647,2025-01-01,2025,Human Resources,HR Manager,0,0.08995432556080177,0,0.16908819344089202,Thấp,1,9.0,0,0,1,3268,26.27
2650,2025-01-01,2025,Operations,Operations Manager,0,0.09198189236024695,0,0.16908819344089202,Thấp,1,9.2,0,0,1,3197,27.87
2653,2025-01-01,2025,Marketing,Marketing Manager,1,0.11730809722099979,0,0.16908819344089202,Trung bình,2,11.73,0,1,0,2525,43.04
2654,2025-01-01,2025,Operations,Warehouse Supervisor,1,0.3487308455987398,1,0.16908819344089202,Cao,3,34.87,1,0,0,158,96.46
2655,2025-01-01,2025,Human Resources,HR Manager,0,0.2544233044247871,1,0.16908819344089202,Cao,3,25.44,1,0,0,617,86.1
2656,2025-01-01,2025,Sales,Sales Supervisor,0,0.05939791828247891,0,0.16908819344089202,Thấp,1,5.94,0,0,1,4314,2.66
2659,2025-01-01,2025,Information Technology,Data Analyst,0,0.14332612647712564,0,0.16908819344089202,Trung bình,2,14.33,0,1,0,1903,57.08
2661,2025-01-01,2025,Sales,Sales Executive,0,0.07960019618655707,0,0.16908819344089202,Thấp,1,7.96,0,0,1,3640,17.87
2664,2025-01-01,2025,Sales,Sales Executive,0,0.3307025570116991,1,0.16908819344089202,Cao,3,33.07,1,0,0,218,95.1
2668,2025-01-01,2025,Finance,Financial Analyst,0,0.20910400554142416,1,0.16908819344089202,Cao,3,20.91,1,0,0,1045,76.44
2669,2025-01-01,2025,Finance,Accountant,0,0.15219526947009526,0,0.16908819344089202,Trung bình,2,15.22,0,1,0,1746,60.62
2670,2025-01-01,2025,Sales,Account Manager,0,0.13385129092555842,0,0.16908819344089202,Trung bình,2,13.39,0,1,0,2136,51.82
2671,2025-01-01,2025,Sales,Sales Representative,0,0.09900419763739496,0,0.16908819344089202,Thấp,1,9.9,0,0,1,3028,31.69
2673,2025-01-01,2025,Information Technology,QA Engineer,0,0.274115898951082,1,0.16908819344089202,Cao,3,27.41,1,0,0,469,89.44
2675,2025-01-01,2025,Human Resources,Recruiter,0,0.09523112427039837,0,0.16908819344089202,Thấp,1,9.52,0,0,1,3108,29.88
2677,2025-01-01,2025,Sales,Account Manager,0,0.11708711720292096,0,0.16908819344089202,Trung bình,2,11.71,0,1,0,2533,42.86
2679,2025-01-01,2025,Operations,Warehouse Supervisor,1,0.14086305283745207,0,0.16908819344089202,Trung bình,2,14.09,0,1,0,1958,55.83
2680,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.09719143214860952,0,0.16908819344089202,Thấp,1,9.72,0,0,1,3063,30.9
2681,2025-01-01,2025,Information Technology,Data Analyst,1,0.07410479997339968,0,0.16908819344089202,Thấp,1,7.41,0,0,1,3856,13.0
2682,2025-01-01,2025,Marketing,Content Specialist,0,0.2386150067568405,1,0.16908819344089202,Cao,3,23.86,1,0,0,741,83.3
2688,2025-01-01,2025,Marketing,Content Specialist,0,0.2616019793555316,1,0.16908819344089202,Cao,3,26.16,1,0,0,566,87.25
2689,2025-01-01,2025,Human Resources,HR Manager,0,0.07908569358979066,0,0.16908819344089202,Thấp,1,7.91,0,0,1,3663,17.35
2692,2025-01-01,2025,Finance,Accountant,0,0.054431661069885874,0,0.16908819344089202,Thấp,1,5.44,0,0,1,4399,0.74
2694,2025-01-01,2025,Operations,Operations Executive,0,0.1746441813779513,1,0.16908819344089202,Cao,3,17.46,1,0,0,1415,68.09
2695,2025-01-01,2025,Information Technology,Software Engineer,0,0.21932484721177484,1,0.16908819344089202,Cao,3,21.93,1,0,0,927,79.1
2697,2025-01-01,2025,Human Resources,HR Manager,0,0.07531053852164098,0,0.16908819344089202,Thấp,1,7.53,0,0,1,3809,14.06
2702,2025-01-01,2025,Human Resources,C&B Specialist,0,0.06380003115606017,0,0.16908819344089202,Thấp,1,6.38,0,0,1,4189,5.48
2705,2025-01-01,2025,Operations,Operations Manager,0,0.06706803863470027,0,0.16908819344089202,Thấp,1,6.71,0,0,1,4088,7.76
2707,2025-01-01,2025,Finance,Accountant,0,0.11992801384164355,0,0.16908819344089202,Trung bình,2,11.99,0,1,0,2476,44.14
2709,2025-01-01,2025,Finance,Finance Manager,1,0.16048028833177264,0,0.16908819344089202,Trung bình,2,16.05,0,1,0,1609,63.71
2710,2025-01-01,2025,Finance,Accountant,1,0.25382834745583205,1,0.16908819344089202,Cao,3,25.38,1,0,0,622,85.99
2711,2025-01-01,2025,Operations,Operations Executive,0,0.1465953854686254,0,0.16908819344089202,Trung bình,2,14.66,0,1,0,1854,58.18
2712,2025-01-01,2025,Marketing,Content Specialist,1,0.2154432314635055,1,0.16908819344089202,Cao,3,21.54,1,0,0,971,78.11
2713,2025-01-01,2025,Human Resources,C&B Specialist,0,0.3137887305536428,1,0.16908819344089202,Cao,3,31.38,1,0,0,282,93.66
2716,2025-01-01,2025,Marketing,Marketing Executive,0,0.11000236040944121,0,0.16908819344089202,Trung bình,2,11.0,0,1,0,2749,37.98
2719,2025-01-01,2025,Marketing,Content Specialist,0,0.09372218005257632,0,0.16908819344089202,Thấp,1,9.37,0,0,1,3144,29.07
2721,2025-01-01,2025,Marketing,Marketing Manager,1,0.24815366375223022,1,0.16908819344089202,Cao,3,24.82,1,0,0,678,84.72
2724,2025-01-01,2025,Marketing,Marketing Executive,0,0.1793365569684617,1,0.16908819344089202,Cao,3,17.93,1,0,0,1343,69.71
2726,2025-01-01,2025,Human Resources,C&B Specialist,0,0.09164549443092652,0,0.16908819344089202,Thấp,1,9.16,0,0,1,3208,27.62
2727,2025-01-01,2025,Marketing,Content Specialist,0,0.15246374419853695,0,0.16908819344089202,Trung bình,2,15.25,0,1,0,1741,60.73
2729,2025-01-01,2025,Marketing,Marketing Manager,0,0.08875063954249744,0,0.16908819344089202,Thấp,1,8.88,0,0,1,3301,25.52
2730,2025-01-01,2025,Sales,Account Manager,0,0.07429785624493311,0,0.16908819344089202,Thấp,1,7.43,0,0,1,3848,13.18
2734,2025-01-01,2025,Sales,Sales Supervisor,0,0.13272407784827217,0,0.16908819344089202,Trung bình,2,13.27,0,1,0,2170,51.05
2735,2025-01-01,2025,Finance,Accountant,1,0.20046622824967136,1,0.16908819344089202,Cao,3,20.05,1,0,0,1134,74.43
2738,2025-01-01,2025,Finance,Accountant,0,0.07339785062971863,0,0.16908819344089202,Thấp,1,7.34,0,0,1,3892,12.19
2740,2025-01-01,2025,Operations,Warehouse Supervisor,1,0.3410833929676244,1,0.16908819344089202,Cao,3,34.11,1,0,0,185,95.85
2741,2025-01-01,2025,Operations,Procurement Specialist,0,0.10760353247731658,0,0.16908819344089202,Trung bình,2,10.76,0,1,0,2824,36.29
2743,2025-01-01,2025,Sales,Sales Executive,0,0.06751886220526432,0,0.16908819344089202,Thấp,1,6.75,0,0,1,4072,8.12
2744,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.06656443803542882,0,0.16908819344089202,Thấp,1,6.66,0,0,1,4101,7.47
2745,2025-01-01,2025,Marketing,Marketing Executive,0,0.11332629595311149,0,0.16908819344089202,Trung bình,2,11.33,0,1,0,2646,40.31
2746,2025-01-01,2025,Sales,Sales Executive,0,0.2860453053084186,1,0.16908819344089202,Cao,3,28.6,1,0,0,388,91.27
2747,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.15524072233791328,0,0.16908819344089202,Trung bình,2,15.52,0,1,0,1695,61.77
2753,2025-01-01,2025,Information Technology,QA Engineer,0,0.08426002209627205,0,0.16908819344089202,Thấp,1,8.43,0,0,1,3446,22.25
2754,2025-01-01,2025,Operations,Operations Manager,1,0.4873093922637085,1,0.16908819344089202,Cao,3,48.73,1,0,0,3,99.95
2756,2025-01-01,2025,Information Technology,Software Engineer,0,0.16094984459206782,0,0.16908819344089202,Trung bình,2,16.09,0,1,0,1602,63.87
2758,2025-01-01,2025,Finance,Accountant,0,0.06805248812767616,0,0.16908819344089202,Thấp,1,6.81,0,0,1,4057,8.46
2760,2025-01-01,2025,Human Resources,C&B Specialist,0,0.15189999332983034,0,0.16908819344089202,Trung bình,2,15.19,0,1,0,1752,60.48
2764,2025-01-01,2025,Information Technology,QA Engineer,0,0.2967681673516337,1,0.16908819344089202,Cao,3,29.68,1,0,0,345,92.24
2765,2025-01-01,2025,Operations,Procurement Specialist,0,0.09555714266639084,0,0.16908819344089202,Thấp,1,9.56,0,0,1,3098,30.11
2767,2025-01-01,2025,Human Resources,Recruiter,0,0.22351979612786232,1,0.16908819344089202,Cao,3,22.35,1,0,0,882,80.12
