MaNV,NgayThang,Nam,PhongBan,ChucDanh,ThucTeNghiViec,XacSuatNghiViec,DuDoanNghiViec
2024,2025-01-01,2025,Human Resources,HR Executive,0,0.09765873682362915,0
2025,2025-01-01,2025,Information Technology,System Administrator,0,0.19074173900916036,1
2027,2025-01-01,2025,Finance,Finance Manager,0,0.09218159816886279,0
2029,2025-01-01,2025,Information Technology,System Administrator,0,0.12628832962396097,0
2030,2025-01-01,2025,Finance,Finance Manager,0,0.12642157460893283,0
2031,2025-01-01,2025,Human Resources,HR Executive,0,0.08149051486570656,0
2033,2025-01-01,2025,Information Technology,Data Analyst,0,0.07310174231535525,0
2037,2025-01-01,2025,Information Technology,Software Engineer,0,0.1859820230606095,1
2041,2025-01-01,2025,Information Technology,IT Support,0,0.14283002392021582,0
2043,2025-01-01,2025,Marketing,Content Specialist,1,0.11123899289484494,0
2049,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.10438960230189272,0
2050,2025-01-01,2025,Finance,Financial Analyst,0,0.15212506956678992,0
2052,2025-01-01,2025,Marketing,Content Specialist,0,0.038439603949676986,0
2053,2025-01-01,2025,Finance,Accountant,0,0.05043030452537301,0
2055,2025-01-01,2025,Marketing,Marketing Executive,0,0.028868620646845186,0
2056,2025-01-01,2025,Marketing,Marketing Manager,0,0.12935979830224598,0
2057,2025-01-01,2025,Operations,Procurement Specialist,0,0.06657856787158102,0
2059,2025-01-01,2025,Sales,Sales Executive,0,0.12602044225675327,0
2064,2025-01-01,2025,Operations,Operations Executive,0,0.07180494439938183,0
2065,2025-01-01,2025,Finance,Financial Analyst,0,0.13196189760353472,0
2067,2025-01-01,2025,Human Resources,HR Executive,0,0.14835904598759525,0
2069,2025-01-01,2025,Finance,Finance Manager,0,0.0643290879491874,0
2071,2025-01-01,2025,Information Technology,System Administrator,0,0.21974476215272468,1
2073,2025-01-01,2025,Sales,Sales Executive,0,0.06819222119798363,0
2078,2025-01-01,2025,Operations,Operations Executive,1,0.2917310936319689,1
2080,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.1394240416898873,0
2083,2025-01-01,2025,Information Technology,Software Engineer,0,0.14472821463018073,0
2084,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.2109123259530349,1
2089,2025-01-01,2025,Sales,Sales Representative,0,0.08159916150211276,0
2096,2025-01-01,2025,Operations,Operations Executive,1,0.10407512488368272,0
2098,2025-01-01,2025,Marketing,Marketing Executive,0,0.057659908339895385,0
2099,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.13937690994134663,0
2101,2025-01-01,2025,Sales,Account Manager,0,0.17455924858414595,1
2102,2025-01-01,2025,Sales,Sales Representative,0,0.09743487719499455,0
2103,2025-01-01,2025,Sales,Account Manager,0,0.061687024733157916,0
2106,2025-01-01,2025,Information Technology,Data Analyst,0,0.2332085377665438,1
2107,2025-01-01,2025,Human Resources,Recruiter,0,0.14307277211597036,0
2109,2025-01-01,2025,Information Technology,Software Engineer,0,0.051235058192027234,0
2112,2025-01-01,2025,Operations,Procurement Specialist,0,0.12930468174622903,0
2114,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.2065592456567192,1
2117,2025-01-01,2025,Sales,Account Manager,0,0.14426720182776182,0
2118,2025-01-01,2025,Information Technology,Software Engineer,0,0.13438496818907514,0
2120,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.22484695059423968,1
2121,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.17941218557944782,1
2124,2025-01-01,2025,Finance,Finance Manager,0,0.1398945312196039,0
2125,2025-01-01,2025,Operations,Procurement Specialist,1,0.17569683413773424,1
2127,2025-01-01,2025,Sales,Sales Representative,0,0.13367843563665543,0
2130,2025-01-01,2025,Operations,Operations Manager,0,0.07185882814708233,0
2135,2025-01-01,2025,Marketing,Content Specialist,0,0.11360639370396959,0
2136,2025-01-01,2025,Human Resources,HR Executive,0,0.05190871892440619,0
2137,2025-01-01,2025,Finance,Internal Auditor,0,0.2239312174471021,1
2139,2025-01-01,2025,Information Technology,QA Engineer,0,0.08418857313512786,0
2140,2025-01-01,2025,Operations,Operations Executive,0,0.056921899053618934,0
2141,2025-01-01,2025,Information Technology,System Administrator,0,0.15684749078644192,0
2144,2025-01-01,2025,Finance,Accountant,0,0.08592919482358861,0
2145,2025-01-01,2025,Information Technology,Software Engineer,0,0.21189984269244816,1
2151,2025-01-01,2025,Sales,Sales Supervisor,0,0.20665489831727565,1
2154,2025-01-01,2025,Sales,Sales Executive,0,0.053936083195039515,0
2156,2025-01-01,2025,Information Technology,Software Engineer,0,0.0842150305191978,0
2158,2025-01-01,2025,Human Resources,Recruiter,0,0.15574457863704416,0
2159,2025-01-01,2025,Human Resources,C&B Specialist,0,0.06881079615762233,0
2161,2025-01-01,2025,Sales,Sales Supervisor,0,0.09786099940991848,0
2166,2025-01-01,2025,Operations,Procurement Specialist,0,0.13563366286897455,0
2171,2025-01-01,2025,Information Technology,Data Analyst,1,0.21500658024588062,1
2172,2025-01-01,2025,Information Technology,IT Support,0,0.07506460726385047,0
2175,2025-01-01,2025,Human Resources,HR Manager,1,0.25063789064295905,1
2176,2025-01-01,2025,Sales,Sales Supervisor,0,0.1772503914897428,1
2177,2025-01-01,2025,Marketing,Content Specialist,0,0.06679197769254204,0
2178,2025-01-01,2025,Marketing,Content Specialist,0,0.2152526640563959,1
2180,2025-01-01,2025,Marketing,Marketing Manager,0,0.10617076663738466,0
2182,2025-01-01,2025,Operations,Operations Executive,0,0.07000123052531933,0
2183,2025-01-01,2025,Human Resources,HR Executive,0,0.14961961900671908,0
2184,2025-01-01,2025,Operations,Operations Manager,0,0.13814925080982093,0
2188,2025-01-01,2025,Sales,Sales Supervisor,0,0.243984629029352,1
2195,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.08784646807846333,0
2196,2025-01-01,2025,Marketing,Digital Marketing Specialist,1,0.15680970999176105,0
2197,2025-01-01,2025,Sales,Account Manager,0,0.1000089707447628,0
2201,2025-01-01,2025,Marketing,Marketing Executive,0,0.19554927925502133,1
2203,2025-01-01,2025,Finance,Accountant,0,0.1896831988169534,1
2207,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.20663967889593557,1
2210,2025-01-01,2025,Marketing,Content Specialist,1,0.1838354284625001,1
2211,2025-01-01,2025,Human Resources,HR Manager,0,0.09065970950015037,0
2212,2025-01-01,2025,Human Resources,HR Manager,0,0.10066033325440722,0
2214,2025-01-01,2025,Marketing,Marketing Manager,0,0.17995328502042587,1
2215,2025-01-01,2025,Human Resources,HR Executive,0,0.09104807483022453,0
2216,2025-01-01,2025,Operations,Operations Executive,0,0.06400860582992751,0
2218,2025-01-01,2025,Information Technology,QA Engineer,0,0.1097381549707467,0
2221,2025-01-01,2025,Finance,Accountant,1,0.04217989724623637,0
2222,2025-01-01,2025,Human Resources,Recruiter,0,0.08651116056989411,0
2223,2025-01-01,2025,Information Technology,Software Engineer,0,0.08281363822938695,0
2228,2025-01-01,2025,Human Resources,HR Executive,0,0.13695973696102373,0
2231,2025-01-01,2025,Information Technology,Data Analyst,0,0.08996620671684358,0
2233,2025-01-01,2025,Human Resources,HR Manager,0,0.22186896078853036,1
2234,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.171075203614582,1
2239,2025-01-01,2025,Operations,Operations Manager,0,0.14617128760964435,0
2243,2025-01-01,2025,Marketing,Marketing Executive,0,0.20330212047963842,1
2244,2025-01-01,2025,Operations,Procurement Specialist,0,0.3118229349683718,1
2248,2025-01-01,2025,Finance,Finance Manager,0,0.05838626749635392,0
2250,2025-01-01,2025,Marketing,Marketing Executive,0,0.045980115404275546,0
2254,2025-01-01,2025,Sales,Sales Supervisor,0,0.05968443908878777,0
2256,2025-01-01,2025,Operations,Operations Manager,0,0.09015425679028896,0
2259,2025-01-01,2025,Human Resources,Recruiter,0,0.09431640059312053,0
2268,2025-01-01,2025,Operations,Operations Manager,1,0.12191674764279456,0
2270,2025-01-01,2025,Finance,Finance Manager,0,0.25056995471626525,1
2271,2025-01-01,2025,Information Technology,IT Support,0,0.15639275222882146,0
2275,2025-01-01,2025,Finance,Finance Manager,0,0.12001792476242802,0
2279,2025-01-01,2025,Marketing,Marketing Manager,0,0.1742123753003189,1
2283,2025-01-01,2025,Human Resources,HR Executive,0,0.06899437237680989,0
2287,2025-01-01,2025,Information Technology,IT Support,0,0.16367053236211362,1
2291,2025-01-01,2025,Finance,Internal Auditor,0,0.08186509675099357,0
2295,2025-01-01,2025,Information Technology,QA Engineer,0,0.03475679170918939,0
2297,2025-01-01,2025,Information Technology,IT Support,1,0.07395870386111826,0
2299,2025-01-01,2025,Information Technology,IT Support,0,0.24711310032217676,1
2302,2025-01-01,2025,Operations,Operations Executive,0,0.267565964303194,1
2304,2025-01-01,2025,Sales,Account Manager,1,0.1147117206764906,0
2307,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.07297513606390074,0
2311,2025-01-01,2025,Sales,Sales Executive,1,0.2925040705853334,1
2313,2025-01-01,2025,Sales,Sales Executive,0,0.1880288033495213,1
2314,2025-01-01,2025,Marketing,Content Specialist,0,0.1535043377750242,0
2316,2025-01-01,2025,Sales,Sales Executive,0,0.13821906940341747,0
2317,2025-01-01,2025,Marketing,Marketing Executive,0,0.10255756253582023,0
2318,2025-01-01,2025,Operations,Procurement Specialist,0,0.18833101942101346,1
2320,2025-01-01,2025,Finance,Accountant,0,0.16011508528237256,1
2321,2025-01-01,2025,Information Technology,IT Support,0,0.2563573143365373,1
2323,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.21275551045307703,1
2324,2025-01-01,2025,Information Technology,Data Analyst,0,0.057450613708926665,0
2326,2025-01-01,2025,Human Resources,Recruiter,0,0.16910846252299316,1
2327,2025-01-01,2025,Marketing,Marketing Manager,0,0.13030872441828698,0
2328,2025-01-01,2025,Sales,Account Manager,0,0.15393484790604003,0
2329,2025-01-01,2025,Information Technology,Software Engineer,0,0.12951392794109381,0
2330,2025-01-01,2025,Sales,Sales Supervisor,0,0.11301864900828847,0
2331,2025-01-01,2025,Human Resources,C&B Specialist,1,0.11262972321830833,0
2334,2025-01-01,2025,Sales,Sales Executive,1,0.16586830173785896,1
2336,2025-01-01,2025,Sales,Sales Representative,0,0.1204438300176307,0
2337,2025-01-01,2025,Finance,Financial Analyst,0,0.11001667684427352,0
2340,2025-01-01,2025,Sales,Sales Representative,0,0.14903044697053694,0
2344,2025-01-01,2025,Operations,Procurement Specialist,0,0.09215474566721658,0
2345,2025-01-01,2025,Sales,Sales Executive,0,0.05431411517666341,0
2346,2025-01-01,2025,Operations,Procurement Specialist,0,0.1301484197246492,0
2347,2025-01-01,2025,Finance,Financial Analyst,0,0.21141073724100445,1
2348,2025-01-01,2025,Information Technology,Software Engineer,1,0.18938719568101975,1
2349,2025-01-01,2025,Sales,Sales Supervisor,0,0.1590368780495124,1
2354,2025-01-01,2025,Sales,Sales Executive,0,0.1942803373938458,1
2355,2025-01-01,2025,Operations,Operations Manager,0,0.11060680306962424,0
2364,2025-01-01,2025,Marketing,Content Specialist,0,0.11777156925739213,0
2366,2025-01-01,2025,Marketing,Marketing Executive,1,0.3990519542873218,1
2370,2025-01-01,2025,Operations,Procurement Specialist,0,0.1886236603066431,1
2373,2025-01-01,2025,Operations,Operations Manager,0,0.145037389954449,0
2375,2025-01-01,2025,Operations,Warehouse Supervisor,1,0.2857870882492732,1
2381,2025-01-01,2025,Human Resources,HR Executive,0,0.1738519713404132,1
2382,2025-01-01,2025,Human Resources,HR Manager,0,0.1216861174982482,0
2386,2025-01-01,2025,Operations,Operations Executive,0,0.04279337699663112,0
2387,2025-01-01,2025,Information Technology,QA Engineer,0,0.26587194516378043,1
2388,2025-01-01,2025,Finance,Internal Auditor,0,0.09211096387882131,0
2392,2025-01-01,2025,Operations,Procurement Specialist,0,0.06597784975489654,0
2394,2025-01-01,2025,Sales,Sales Supervisor,0,0.09966027210630134,0
2395,2025-01-01,2025,Sales,Sales Executive,1,0.1791406180937871,1
2399,2025-01-01,2025,Human Resources,HR Manager,0,0.08949004380473695,0
2400,2025-01-01,2025,Information Technology,Data Analyst,0,0.10535108278070289,0
2401,2025-01-01,2025,Marketing,Marketing Executive,0,0.09856051728833905,0
2403,2025-01-01,2025,Human Resources,HR Executive,0,0.2178022497792784,1
2406,2025-01-01,2025,Marketing,Marketing Executive,0,0.0567299594528882,0
2411,2025-01-01,2025,Information Technology,Software Engineer,0,0.2606409254477597,1
2412,2025-01-01,2025,Marketing,Content Specialist,0,0.0850934170555808,0
2413,2025-01-01,2025,Sales,Account Manager,0,0.18924317187040882,1
2414,2025-01-01,2025,Operations,Procurement Specialist,1,0.2530943768119593,1
2415,2025-01-01,2025,Information Technology,Software Engineer,0,0.11792355485318355,0
2417,2025-01-01,2025,Human Resources,Recruiter,0,0.18458845250973918,1
2419,2025-01-01,2025,Information Technology,Data Analyst,0,0.17956107690029446,1
2420,2025-01-01,2025,Marketing,Marketing Manager,0,0.07723521626015699,0
2422,2025-01-01,2025,Marketing,Marketing Manager,0,0.05702592567818209,0
2423,2025-01-01,2025,Marketing,Marketing Executive,1,0.10956367353100238,0
2428,2025-01-01,2025,Sales,Sales Executive,0,0.14066602816519247,0
2429,2025-01-01,2025,Human Resources,HR Manager,0,0.14261295464100138,0
2430,2025-01-01,2025,Information Technology,Data Analyst,0,0.01984686920682619,0
2431,2025-01-01,2025,Marketing,Content Specialist,0,0.14241323680708634,0
2432,2025-01-01,2025,Information Technology,Software Engineer,0,0.102892123118059,0
2434,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.0858973432783589,0
2436,2025-01-01,2025,Marketing,Marketing Executive,0,0.11445997269967109,0
2439,2025-01-01,2025,Finance,Accountant,0,0.2378782521941836,1
2441,2025-01-01,2025,Marketing,Marketing Manager,0,0.05309281293296165,0
2442,2025-01-01,2025,Finance,Accountant,0,0.10198695477836646,0
2447,2025-01-01,2025,Sales,Sales Executive,0,0.11095781575323152,0
2449,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.15372398678813612,0
2451,2025-01-01,2025,Information Technology,Software Engineer,0,0.08139638253231629,0
2452,2025-01-01,2025,Human Resources,Recruiter,0,0.14474149953583723,0
2455,2025-01-01,2025,Information Technology,IT Support,0,0.16605346010668945,1
2457,2025-01-01,2025,Operations,Procurement Specialist,0,0.06575194120760562,0
2458,2025-01-01,2025,Finance,Accountant,0,0.10239998303061928,0
2459,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.2525356545385827,1
2461,2025-01-01,2025,Finance,Internal Auditor,0,0.08381357784262311,0
2469,2025-01-01,2025,Information Technology,IT Support,0,0.12525368630550557,0
2470,2025-01-01,2025,Information Technology,Data Analyst,0,0.05121241090078362,0
2471,2025-01-01,2025,Finance,Financial Analyst,0,0.09723583481103151,0
2473,2025-01-01,2025,Marketing,Marketing Manager,0,0.09609971598033558,0
2474,2025-01-01,2025,Human Resources,Recruiter,1,0.20667085763760848,1
2477,2025-01-01,2025,Information Technology,System Administrator,0,0.12397863313069556,0
2479,2025-01-01,2025,Sales,Sales Representative,0,0.08276089467434065,0
2482,2025-01-01,2025,Information Technology,Software Engineer,1,0.1488705361637492,0
2483,2025-01-01,2025,Finance,Financial Analyst,0,0.09063528329770629,0
2485,2025-01-01,2025,Marketing,Content Specialist,0,0.19022166527754575,1
2493,2025-01-01,2025,Operations,Procurement Specialist,0,0.16938742477457777,1
2494,2025-01-01,2025,Information Technology,Software Engineer,0,0.10890908715140361,0
2496,2025-01-01,2025,Human Resources,HR Executive,0,0.08872825851931125,0
2499,2025-01-01,2025,Finance,Finance Manager,0,0.05468437804843996,0
2501,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.09822787123533437,0
2502,2025-01-01,2025,Sales,Sales Executive,0,0.1331206810209996,0
2503,2025-01-01,2025,Sales,Sales Executive,0,0.07839535654966799,0
2504,2025-01-01,2025,Information Technology,Data Analyst,0,0.21559775355336028,1
2508,2025-01-01,2025,Operations,Operations Manager,1,0.14615809564149554,0
2511,2025-01-01,2025,Finance,Accountant,0,0.23301812252978288,1
2512,2025-01-01,2025,Information Technology,Software Engineer,0,0.12377020687497634,0
2515,2025-01-01,2025,Information Technology,QA Engineer,0,0.12107621724120587,0
2516,2025-01-01,2025,Finance,Finance Manager,0,0.32704247225914773,1
2520,2025-01-01,2025,Finance,Accountant,0,0.06586961338834439,0
2522,2025-01-01,2025,Operations,Procurement Specialist,0,0.10216383929020517,0
2524,2025-01-01,2025,Finance,Internal Auditor,0,0.13889711235414892,0
2525,2025-01-01,2025,Human Resources,HR Manager,0,0.29054706775128336,1
2526,2025-01-01,2025,Marketing,Content Specialist,0,0.1522547761495663,0
2527,2025-01-01,2025,Finance,Finance Manager,0,0.04128217332204388,0
2530,2025-01-01,2025,Information Technology,System Administrator,0,0.11966271920882948,0
2531,2025-01-01,2025,Human Resources,Recruiter,0,0.13299126731954003,0
2533,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.07959191084521772,0
2537,2025-01-01,2025,Operations,Procurement Specialist,0,0.05649161060772621,0
2539,2025-01-01,2025,Marketing,Content Specialist,1,0.031611586245574044,0
2542,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.08049547683930958,0
2547,2025-01-01,2025,Finance,Finance Manager,0,0.15506218773228686,0
2549,2025-01-01,2025,Information Technology,Data Analyst,0,0.06854015803349825,0
2550,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.1821816680359906,1
2551,2025-01-01,2025,Information Technology,IT Support,0,0.1807987002178094,1
2554,2025-01-01,2025,Marketing,Marketing Manager,0,0.19401201820206648,1
2557,2025-01-01,2025,Marketing,Marketing Executive,0,0.18093837792951373,1
2558,2025-01-01,2025,Marketing,Content Specialist,0,0.07386232096532395,0
2560,2025-01-01,2025,Sales,Sales Executive,0,0.1413945852844072,0
2561,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.1153438447728947,0
2563,2025-01-01,2025,Operations,Operations Manager,0,0.1536153249047084,0
2564,2025-01-01,2025,Marketing,Marketing Manager,0,0.18432117021959937,1
2566,2025-01-01,2025,Marketing,Marketing Executive,0,0.09345712877679599,0
2568,2025-01-01,2025,Finance,Finance Manager,0,0.2409379817966044,1
2569,2025-01-01,2025,Information Technology,QA Engineer,1,0.31317204217480454,1
2571,2025-01-01,2025,Information Technology,System Administrator,0,0.08009713674962865,0
2572,2025-01-01,2025,Finance,Accountant,0,0.11199712478405817,0
2573,2025-01-01,2025,Sales,Sales Executive,1,0.11857418175878068,0
2574,2025-01-01,2025,Information Technology,QA Engineer,0,0.18481929884091056,1
2576,2025-01-01,2025,Human Resources,Recruiter,1,0.20884481727673418,1
2577,2025-01-01,2025,Marketing,Content Specialist,0,0.07942647663991971,0
2579,2025-01-01,2025,Operations,Procurement Specialist,0,0.10632767345879572,0
2581,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.0,0
2584,2025-01-01,2025,Sales,Sales Supervisor,0,0.07205076984559927,0
2585,2025-01-01,2025,Sales,Account Manager,0,0.1395028444012705,0
2587,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.11469386628631914,0
2588,2025-01-01,2025,Marketing,Marketing Manager,0,0.16323204369161654,1
2593,2025-01-01,2025,Finance,Accountant,0,0.15705664655863827,0
2596,2025-01-01,2025,Marketing,Content Specialist,0,0.1516520408479013,0
2597,2025-01-01,2025,Finance,Accountant,0,0.27721184249678726,1
2599,2025-01-01,2025,Sales,Account Manager,0,0.05720452483176209,0
2602,2025-01-01,2025,Operations,Warehouse Supervisor,1,0.16881295599870935,1
2605,2025-01-01,2025,Human Resources,Recruiter,1,0.17918189548548352,1
2607,2025-01-01,2025,Operations,Warehouse Supervisor,1,0.13127073052908342,0
2609,2025-01-01,2025,Operations,Operations Manager,1,0.11519705553413191,0
2614,2025-01-01,2025,Information Technology,Data Analyst,0,0.04502518501726604,0
2615,2025-01-01,2025,Information Technology,System Administrator,0,0.10060225416213305,0
2616,2025-01-01,2025,Human Resources,HR Manager,0,0.11480571391344262,0
2618,2025-01-01,2025,Human Resources,HR Manager,0,0.22154843135693014,1
2623,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.08645308968318594,0
2624,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.09219943201101355,0
2626,2025-01-01,2025,Marketing,Marketing Executive,0,0.15873287158659527,1
2629,2025-01-01,2025,Human Resources,C&B Specialist,0,0.059607760799171856,0
2630,2025-01-01,2025,Operations,Procurement Specialist,1,0.12650840153924067,0
2635,2025-01-01,2025,Finance,Accountant,0,0.06040798016002013,0
2637,2025-01-01,2025,Human Resources,C&B Specialist,0,0.0566771462861898,0
2639,2025-01-01,2025,Finance,Internal Auditor,0,0.1822170679362399,1
2640,2025-01-01,2025,Human Resources,C&B Specialist,0,0.09917107500841944,0
2642,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.2626847108858453,1
2643,2025-01-01,2025,Marketing,Content Specialist,0,0.139702178334631,0
2644,2025-01-01,2025,Information Technology,IT Support,0,0.29466340119861517,1
2645,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.21213416310499744,1
2646,2025-01-01,2025,Sales,Sales Supervisor,0,0.11235669257171547,0
2647,2025-01-01,2025,Human Resources,HR Manager,0,0.06253752372335411,0
2650,2025-01-01,2025,Operations,Operations Manager,0,0.07579550343706823,0
2653,2025-01-01,2025,Marketing,Marketing Manager,1,0.08127294776189653,0
2654,2025-01-01,2025,Operations,Warehouse Supervisor,1,0.35792402949111957,1
2655,2025-01-01,2025,Human Resources,HR Manager,0,0.25233514321415984,1
2656,2025-01-01,2025,Sales,Sales Supervisor,0,0.06301088710975351,0
2659,2025-01-01,2025,Information Technology,Data Analyst,0,0.15424731866414407,0
2661,2025-01-01,2025,Sales,Sales Executive,0,0.09498089095583613,0
2664,2025-01-01,2025,Sales,Sales Executive,0,0.2693045660786667,1
2668,2025-01-01,2025,Finance,Financial Analyst,0,0.1911967470632113,1
2669,2025-01-01,2025,Finance,Accountant,0,0.20292928470029825,1
2670,2025-01-01,2025,Sales,Account Manager,0,0.164326302949747,1
2671,2025-01-01,2025,Sales,Sales Representative,0,0.10367830560033486,0
2673,2025-01-01,2025,Information Technology,QA Engineer,0,0.20059391382780362,1
2675,2025-01-01,2025,Human Resources,Recruiter,0,0.1098157508000167,0
2677,2025-01-01,2025,Sales,Account Manager,0,0.08791273829229919,0
2679,2025-01-01,2025,Operations,Warehouse Supervisor,1,0.13626749247743897,0
2680,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.09455731635416793,0
2681,2025-01-01,2025,Information Technology,Data Analyst,1,0.06313340869541692,0
2682,2025-01-01,2025,Marketing,Content Specialist,0,0.17670511238732695,1
2688,2025-01-01,2025,Marketing,Content Specialist,0,0.18672507375673786,1
2689,2025-01-01,2025,Human Resources,HR Manager,0,0.09824501926931192,0
2692,2025-01-01,2025,Finance,Accountant,0,0.0205724173053702,0
2694,2025-01-01,2025,Operations,Operations Executive,0,0.13049522314588508,0
2695,2025-01-01,2025,Information Technology,Software Engineer,0,0.18394931108326548,1
2697,2025-01-01,2025,Human Resources,HR Manager,0,0.07880061925957457,0
2702,2025-01-01,2025,Human Resources,C&B Specialist,0,0.04947812842879048,0
2705,2025-01-01,2025,Operations,Operations Manager,0,0.10258109354414814,0
2707,2025-01-01,2025,Finance,Accountant,0,0.08368390179177627,0
2709,2025-01-01,2025,Finance,Finance Manager,1,0.08012690801864827,0
2710,2025-01-01,2025,Finance,Accountant,1,0.2219293405611505,1
2711,2025-01-01,2025,Operations,Operations Executive,0,0.1096141862817632,0
2712,2025-01-01,2025,Marketing,Content Specialist,1,0.17000711239596536,1
2713,2025-01-01,2025,Human Resources,C&B Specialist,0,0.2608687071190421,1
2716,2025-01-01,2025,Marketing,Marketing Executive,0,0.07739362137800361,0
2719,2025-01-01,2025,Marketing,Content Specialist,0,0.06398228977908595,0
2721,2025-01-01,2025,Marketing,Marketing Manager,1,0.17330077366593802,1
2724,2025-01-01,2025,Marketing,Marketing Executive,0,0.18800229237124788,1
2726,2025-01-01,2025,Human Resources,C&B Specialist,0,0.09596768085145829,0
2727,2025-01-01,2025,Marketing,Content Specialist,0,0.07017485234481534,0
2729,2025-01-01,2025,Marketing,Marketing Manager,0,0.06541178352701961,0
2730,2025-01-01,2025,Sales,Account Manager,0,0.09142234292095448,0
2734,2025-01-01,2025,Sales,Sales Supervisor,0,0.18292495512138554,1
2735,2025-01-01,2025,Finance,Accountant,1,0.2123270344592988,1
2738,2025-01-01,2025,Finance,Accountant,0,0.08735492521637887,0
2740,2025-01-01,2025,Operations,Warehouse Supervisor,1,0.3007148063055149,1
2741,2025-01-01,2025,Operations,Procurement Specialist,0,0.1060141095084892,0
2743,2025-01-01,2025,Sales,Sales Executive,0,0.05283150134526047,0
2744,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.026812509308039842,0
2745,2025-01-01,2025,Marketing,Marketing Executive,0,0.15818248621516187,1
2746,2025-01-01,2025,Sales,Sales Executive,0,0.22608455260494734,1
2747,2025-01-01,2025,Operations,Warehouse Supervisor,0,0.1780738636817827,1
2753,2025-01-01,2025,Information Technology,QA Engineer,0,0.11920201768128788,0
2754,2025-01-01,2025,Operations,Operations Manager,1,0.4309122932277493,1
2756,2025-01-01,2025,Information Technology,Software Engineer,0,0.21695772355136803,1
2758,2025-01-01,2025,Finance,Accountant,0,0.0600632670006526,0
2760,2025-01-01,2025,Human Resources,C&B Specialist,0,0.13994677877520814,0
2764,2025-01-01,2025,Information Technology,QA Engineer,0,0.23174263702443398,1
2765,2025-01-01,2025,Operations,Procurement Specialist,0,0.08505531948524925,0
2767,2025-01-01,2025,Human Resources,Recruiter,0,0.19532950539944394,1
2770,2025-01-01,2025,Human Resources,Recruiter,0,0.10018640591676875,0
2771,2025-01-01,2025,Sales,Sales Representative,0,0.14348787352996056,0
2774,2025-01-01,2025,Human Resources,HR Manager,0,0.11774696839476373,0
2775,2025-01-01,2025,Human Resources,HR Manager,0,0.09558405546209864,0
2778,2025-01-01,2025,Marketing,Digital Marketing Specialist,0,0.03817858292121085,0
2780,2025-01-01,2025,Finance,Internal Auditor,0,0.16813123570285674,1
2781,2025-01-01,2025,Sales,Sales Representative,0,0.08820184182267711,0
2784,2025-01-01,2025,Marketing,Marketing Executive,0,0.09014331761517766,0
2785,2025-01-01,2025,Marketing,Marketing Manager,0,0.16146571128147255,1
2786,2025-01-01,2025,Human Resources,HR Manager,0,0.19723220305586575,1
2787,2025-01-01,2025,Finance,Accountant,0,0.14749146106986127,0
2790,2025-01-01,2025,Information Technology,System Administrator,0,0.09705656844698854,0
2795,2025-01-01,2025,Human Resources,HR Manager,0,0.12846592768437604,0
2799,2025-01-01,2025,Marketing,Content Specialist,0,0.09127927212215,0
2803,2025-01-01,2025,Sales,Account Manager,0,0.07136230856908748,0
2804,2025-01-01,2025,Human Resources,Recruiter,0,0.16479631923904767,1
2806,2025-01-01,2025,Human Resources,HR Executive,0,0.07372424470074629,0
2810,2025-01-01,2025,Operations,Procurement Specialist,0,0.038779685522158866,0
2811,2025-01-01,2025,Information Technology,Data Analyst,1,0.24190122689744076,1
2814,2025-01-01,2025,Marketing,Marketing Executive,0,0.08125740151168483,0
2815,2025-01-01,2025,Marketing,Marketing Manager,0,0.12365398373762213,0
2816,2025-01-01,2025,Sales,Sales Representative,1,0.09589127738228262,0
2819,2025-01-01,2025,Human Resources,Recruiter,0,0.11390500431491463,0
2820,2025-01-01,2025,Human Resources,Recruiter,0,0.06821882937123994,0
2821,2025-01-01,2025,Finance,Financial Analyst,0,0.15601177121161447,0
2822,2025-01-01,2025,Information Technology,Data Analyst,0,0.09265522442442596,0
